,Created at,User ID,Text
0,2022-04-14 18:32:00+00:00,1514672837860237312,"I had the privilege to go to @detroitcountryday from the sixth grade until the 12th grade. My Italian immigrant parents sacrificed to send me there. I still spend time talking to DCDS students and nurturing what I believe to be crucial lifelong relationships. 

#teamtonon #DCDS https://t.co/afy6wsoDEU"
1,2022-04-06 15:40:45+00:00,1511730637916491784,"I am always striving to spread the good word! The voices of the citizens of the 13th Congressional District is valued by us and we will continue to fight for your voices to be heard!
.
.
Please join us! 
https://t.co/ZMk0AfJzA2
.
#teamtonon #TononMI13 #community https://t.co/FlNTe6YpYC"
2,2022-03-29 14:15:54+00:00,1508810183111237641,@ballotpedia just completed your survey! Excited to be running for Congress to ensure that our communities have a seat at the table. #tononforcongress
3,2022-03-29 04:02:06+00:00,1508655712959930369,"ADRIAN TONON ENDORSED BY TEAMSTERS (Detroit, MI) The Tonon for Congress campaign is honored to announce the support of Teamsters Local 337. 

The union notes that Adrian Tonon’s, “Ability to bring folks together is needed in the U.S. Congress.” - Alex Young, Political Director. https://t.co/cKvo5PoLe4"
4,2022-03-25 23:25:18+00:00,1507498892765835269,"Vision 

The ability to think about or plan the future with imagination or wisdom.
#vision

#thepeople #community #jobs #entrepreneurs #governmentaccountability #equitableeducation #creativeeconomy #affordablehousing #economicdevelopment https://t.co/JmbVOW4KcA"
5,2022-03-22 12:57:32+00:00,1506253746770173956,"In this critical moment, we must support the Ukrainian people and those who have moved there for work or school. As we continue to pray for their wellbeing I encourage our nation’s leaders to provide resources to their cause in this difficult moment #WeStandWithUkraine"
6,2022-03-19 23:01:14+00:00,1505318510381125639,"Bridges are built, not only to close the divide between people, but the divide between ideas. Our customers are not just those who buy our products, they are also our neighbors, community members, coworkers, friends and others that are working towards the same goals. #teamtonon https://t.co/XtEi0SpDZk"
7,2022-03-16 04:08:14+00:00,1503946214240305154,"I'm running for Congress to build bridges and create a seat at the table for everyone. As a public servant and member of this community, I know that working together, we can make sure our best days are ahead of us. Safer communities, and more jobs no matter who you are!#teamtonon https://t.co/5DsVgsmdh0"
8,2022-03-14 03:57:01+00:00,1503218617827090432,"Happy #313 Day! 

The area code was established in 1947 and serves Wayne County, including the city of Detroit and other larger cities and communities such as Dearborn, Dearborn Heights, Detroit, Hamtramck, Inkster. Several of these communities I have been serving for decades. https://t.co/DIASbBpz3k"
9,2022-03-11 15:36:08+00:00,1502307390812737540,"We absolutely appreciate your support! @Royceda59 

Growing up in #Detroit, #Michigan, I have always been part of the fabric of the community. I have served #Black and #Brown communities through my deep relationships in #business, #government, and #family throughout my life. https://t.co/abpbWvdrfT"
10,2022-03-10 01:00:42+00:00,1501724692801114114,"What does your seat at the table look like? 
.
.
#MI13 #teamtonon https://t.co/8qUSHMztQj"
11,2022-03-09 01:55:04+00:00,1501375987971416065,"Adrian Tonon is a small business owner and first-generation American. He believes we need to build bridges, create a seat at the table for everyone, and give everybody the opportunity to work hard and succeed. 
.
.
#teamtonon #MI13 https://t.co/jYVosqFDo5"
12,2022-03-03 13:25:32+00:00,1499375422269800456,"@joseph_preville Email, info@tononforcongress.com for any information about volunteering and to set up any meetings with Adrian! Everyone is welcomed!"
13,2022-03-03 02:47:49+00:00,1499214937046069252,@joseph_preville We truly appreciate the support!
14,2022-03-02 22:54:14+00:00,1499156154974457857,"Let’s get back to kitchen table issues! 
.
.
.
#MI13
#teamtonon https://t.co/J6pBvlnQFB"
15,2022-03-01 02:27:57+00:00,1498485161238933506,Everyone is your customer! #MI13 #community #tononforcongress https://t.co/gXCI4wd9kq
16,2022-02-21 23:32:57+00:00,1495904407384477699,@ElectricBenny Hello! Our website is https://t.co/ZMk0AfJzA2 for an overview of our campaign!
17,2022-02-19 16:33:37+00:00,1495074099164549135,"Thank you ⁦@metrotimes⁩, for this amazing article! #TononMI13 https://t.co/qJZnRx3UX4"
18,2022-02-17 22:37:06+00:00,1494440797416173569,"It’s Official!!! MI-13 

“ I’m running to build relationships, bridge divides, and ensure everyone has a seat at the table. “ -Adrian Tonon 

@TononForCongress 

#BuildingRelationships #SeatAtTheTable
#Detroit #GrossePointeWoods #GrossePointeShores #GrossePointFarms https://t.co/hdDnmPtXip"
19,2022-02-16 01:39:11+00:00,1493761844019879936,https://t.co/dMkwTVFxzJ
