,Created at,User ID,Text
0,2022-06-24 20:17:18+00:00,1540428876290985984,"RT @SonomaDems: Rally 5PM Courthouse Square, Santa Rosa - 3rd St called &amp; promoted by ACLU NorCal. 

We will be there standing with all of…"
1,2022-06-24 20:16:23+00:00,1540428646464204800,"RT @AOC: FYI: When they tell you to “vote harder” that should also apply to primary elections, too.

The party needs to change and that’s n…"
2,2022-06-24 19:19:14+00:00,1540414263591702528,@Sparkle31888597 We cannot let the division in this country that has been given life become the status quo. We can and must become a united nation again if we choose for it. I do and will keep fighting to bring us back together to forge a new path forward.
3,2022-06-24 16:32:01+00:00,1540372179874746369,RT @RepHuffman: This decision by the radical SCOTUS goes against the will of the people and has hurled the U.S. down a terrifying path of s…
4,2022-06-24 16:30:25+00:00,1540371780824494081,"RT @JCisnerosTX: This isn’t a drill. Become a co-sponsor and vote for the Women’s Health Protection Act, @RepCuellar. Stop being the last a…"
5,2022-06-24 16:29:15+00:00,1540371484832501761,"RT @AOC: Overturning Roe and outlawing abortions will never make them go away.

It only makes them more dangerous, especially for the poor…"
6,2022-06-24 16:28:53+00:00,1540371393639882752,RT @ChrisRogers_CA: The Court overturns Roe in a Friday news dump. What a bunch of cowards. And Thomas signaled where he wants to erode fre…
7,2022-06-24 16:26:01+00:00,1540370671791792128,"RT @ReverendWarnock: I'm outraged by the Supreme Court's decision. As a pro-choice pastor, I’ll never back down from this fight. Women must…"
8,2022-06-24 16:13:28+00:00,1540367512562372608,"@RepThompson I stand with you in this and expect you to be a voice that leads the charge to co-sponsor codifying Roe v. Wade into law through legislation. It’s time to back up your words with action, the rights and futures of countless women throughout our nation hang in the balance."
9,2022-06-24 16:08:23+00:00,1540366235786874880,"The decision of the Supreme Court to overturn Roe v. Wade flies in the face of the progress we’ve made as a nation, as it not only is a major step back for a woman’s right to her bodily autonomy, but imperils one’s right to contraception &amp; privacy as well. We must codify Roe now!"
10,2022-06-23 21:22:53+00:00,1540082994286735360,"RT @RepHuffman: I’m happy to see the Biden admin rescind another one of Trump’s reckless, anti-environment attacks on the Endangered Specie…"
11,2022-06-22 19:26:41+00:00,1539691363272384513,"RT @SonomaDems: Here’s a simple question to ask your friends … 
https://t.co/SDmVRFMIDl https://t.co/EgG92DIWan"
12,2022-06-20 19:48:31+00:00,1538972080015757312,"“You don’t always need a plan. Sometimes you just need to breathe, trust, let go and see what happens.” -Mandy Hale

#Wisdom #MondayMotivation https://t.co/oi6pPDrR9f"
13,2022-06-20 03:27:05+00:00,1538725096155643904,RT @BillNye: The United States we know today was built with the labor of enslaved Black Americans. The last were not freed (officially) unt…
