,Created at,User ID,Text
0,2022-06-25 13:45:45+00:00,1540692728983343112,"These threats are only from Liberals pissed they can't murder babies by legal edict and if by men, it is not of their own volition. Rather by beta males manipulated by ""strong"" Negro or White women, 😆. Truly sad. I lived to see RvW overturned. Hallelujah! https://t.co/ZQgbDviMqi"
1,2022-06-24 16:21:28+00:00,1540369526013018113,"A lady crying is quoted as saying, ""How can court tell us what to do with our bodies?""

They are not. They are telling you what you can't do with the child's body.

Figure it out. 
""The law is an abomination."" Said by a Justice."
2,2022-06-24 10:48:15+00:00,1540285670010281985,"McConnell, Graham &amp; Romney in the 15.

“Gun confiscation laws, gun purchase wait periods, and backdoor [universal background checks] pass the Senate 65-33 with the support of 15 Republicans,” the group said, and proceeded to name the 15 Republican senators who voted for the bill. https://t.co/TepnFJnuMm"
3,2022-06-24 10:39:19+00:00,1540283421762666497,"The Supreme Court voted 6–3 on June 23 to strike down New York state’s draconian concealed carry gun permitting system on constitutional grounds, recognizing for the first time a constitutional right to carry firearms in public for self-defense. https://t.co/sBnreWdPZe"
4,2022-06-21 10:10:11+00:00,1539188926333714432,"Due to Fact (used tongue in cheek) Checkers,I will not post prices for Segregation Jim Crow Joe. Just go to the pump. 

Here are FACTUAL GAS PRICES going back to 2001. PERIOD! https://t.co/FN0MQ47RBE"
5,2022-06-20 12:29:28+00:00,1538861589608144896,Look it up if you want the details.... https://t.co/cZytRJcbDj
6,2022-06-20 12:27:42+00:00,1538861146186432513,Look it up if you want the details.... https://t.co/iWesDmfGJo
7,2022-06-20 12:26:12+00:00,1538860768476770304,Look it up if you want the details.... https://t.co/qHkkPdlRE9
8,2022-06-20 12:24:28+00:00,1538860331619033089,"It's nothing but theater 🎥 and it means nothing, except to RINO Supporters who will say, ""I'm so happy the GOP is working for me.""

It is a worthless resolution to make them RE-Vote for them and keep them in office to do nothing of substance, yet again.

DEMS? Honest R Liars. https://t.co/PVla4zht6T"
9,2022-06-15 10:50:49+00:00,1537024824022900736,"There - Trump, nor Russia's Fault

Chevron CEO Mike Wirth said in a recent interview that he does not believe another oil refinery will be built again in the United States, saying that government policies are a key reason why, as average gas prices continue to rise as of Tuesday. https://t.co/Rw6gTq3TrE"
10,2022-06-14 15:27:57+00:00,1536732180361187329,"Just heard Segregation Jim Crow Joe say he doesn’t want to hear anymore lies, 😆. Claims he cut deficit spending. Laws put in place before did that.

Still, here is Undeniable Truth of a liar. It killed his 1st Presidential bid. Watch or shut up Sheep!

https://t.co/LMSP0osOrI"
11,2022-06-14 11:03:20+00:00,1536665588554153984,"No one is marching.
No calls for MORE Gun Control in Chicago.

Oh Wait -
- Toughest GC in the nation already.
- No AR-15s were used.
- It was Negroes shooting and murdering other Negroes.
- Most likely, shootings were done with illegal guns.

BTW, AR 15s are NOT Assault Rifiles! https://t.co/rNTtQ3iRKi"
12,2022-06-13 11:37:30+00:00,1536311798160363520,"You need to be on Fakebook to watch, but it is in line with this image.

From the DC NFL Coach.

https://t.co/ZGUPFdDC1E https://t.co/dQvOlZXJnS"
13,2022-06-13 11:36:02+00:00,1536311427295764481,"We finally got here....

Explains it all and what we see is by design. Sadly, we put them in power.

Here is a preacher who has now apologized twice (last week) for deceiving blind followers.

Don't let me get started on politicians. https://t.co/nhdzWePXzy"
14,2022-06-11 05:42:49+00:00,1535497762598445056,https://t.co/f18fFJbw4q
15,2022-06-11 00:08:40+00:00,1535413672570388480,"He was always a RINO, but the idiots who voted for him only cared about the lies in his stump speeches and the ""R"" after his name. Someone pulled his string. https://t.co/2DQ0ZmHUTW"
16,2022-06-11 00:07:28+00:00,1535413369674530817,"Savvy?

Gas. Inflation. Mandates. Border. Ukraine. Endless Wars. Prisons for Profit. Pedo Priests. The Fed. Formula Crisis. Mandates. The Defict and the beat goes on...... https://t.co/eeM2u6fg7d"
17,2022-06-10 19:00:53+00:00,1535336213812547588,"Savvy?

Gas. Inflation. Mandates. Border. Ukraine. Endless Wars. Prisons for Profit. Pedo Priests. The Fed. Formula Crisis. Mandates. The Defict and the beat goes on...... https://t.co/mu3n5WfuFB"
18,2022-06-10 17:49:57+00:00,1535318364863741954,"Grasp It!

Yes, I got an FBJ30 for my post on Gun Control not working and using the word ""Negro"". 

It lasted 6 days, as any idiot should have known FACTS (Gun Crimes Stats) are not ""Hate Speech"" and the word ""Negro"" is synonymous to ""Black"".

 https://t.co/bRc1gH9Xay"
19,2022-06-09 16:42:43+00:00,1534939054537682944,"I am vaccine FREE.
I was not HACKED.
Allegedly had CCP Virus twice.
Get checked out.... https://t.co/qnjwUhaSaf"
20,2022-06-08 21:36:48+00:00,1534650677070381059,"“When I was a sophomore at USC, I was a socialist, but not when I left the USC. I quickly got wise. I'd read about what had happened to Russia in 1917 when the Communists took over.” Explaining left his left-winged opinions behind at the university.

~The Duke https://t.co/fDe5uvy33A"
21,2022-06-08 01:43:11+00:00,1534350291654565891,@AllenHutchins20 I am so sorry 😞 to hear this Allen. Praying for you and your family.
22,2022-06-05 11:55:34+00:00,1533417240078475271,"Concerning @RepJacobs:
He was always a RINO, but the idiots who voted for him only cared about the lies in his stump speeches and the ""R"" after his name. Someone pulled his string. 

AR 15s are not Assault Rifiles. Someone should educate him. https://t.co/RR5Z0T1CXv"
23,2022-06-05 11:52:25+00:00,1533416449359892481,"He was always a RINO, but the idiots who voted for him only cared about the lies in his stump speeches and the ""R"" after his name. Someone pulled his string. https://t.co/llXxOi9amF"
24,2022-05-28 21:26:55+00:00,1530661922680492036,"Mass School Shooters
Male, White, 16-25 - Occurs not too often.

Gangbanging Shootings
Male (mostly), Negro, 9 and up, Each and Every Weekend without fail. Most of the guns are illegal.

AR-15s are not Assault Rifiles.

Not a single GC Law would've prevented any.

FACTS-"
25,2022-05-27 22:23:35+00:00,1530313796421566470,"Changing age from 18 to 21 will not stop a sociopathic teen. A father might stop him from becoming one.

Civil war will ensue if you try to take America's guns. I'll be one who supports the Second.

Get government out of families."
26,2022-05-27 22:06:35+00:00,1530309517816242176,"Segregation Jim Crow Joe is blaming guns, not democrat policies that made these kids fatherless.

HE DID NOT US AN ASSAULT WEAPON. It was a hand gun with a long barrel.

RINOs are considering his proposal."
27,2022-05-27 22:02:41+00:00,1530308537187938304,A teacher propped open the door. Grasp it!
28,2022-05-26 22:21:38+00:00,1529950915658145811,@marvin_hill123 https://t.co/glysmx9WgE
29,2022-05-26 22:21:15+00:00,1529950822313992198,@marvin_hill123 Who I wanted are in red..... https://t.co/W0N72z0ugb
30,2022-05-26 22:19:59+00:00,1529950502036856841,"@marvin_hill123 Let me lay it out.

Walker has never held office.
So I'll be his Huckleberry and give him a go.
My two disappointments are:
1. Lies, not his past. Research it yourself.
2. He gave the same old tired GOP stump speeches. God, guns, free speech, Yada Yada Yada. He answered nothing."
31,2022-05-26 12:21:21+00:00,1529799849205538816,Why should we even have to? https://t.co/4djq2fPOka
32,2022-05-26 06:19:01+00:00,1529708666718494721,"“Their homepage does not say they do not cooperate with law enforcement. They do say they won’t sell your data or send it out of the company,” Ram said.

https://t.co/xnkillbMA4"
