,Created at,User ID,Text
0,2022-06-28 23:35:57+00:00,1541928417985064960,"We’re looking forward to firing a corrupt shady Congressman, come help us do it tonight! See you soon. https://t.co/C1jh09XEax"
1,2022-06-27 21:34:00+00:00,1541535340866969602,"Securing our southern border starts with finishing Trump's wall. Career politicians have gotten us into this mess, its time we elect outsiders like Elijah Norton, a businessman not a politician. Watch our new ad below! https://t.co/LZCv70BZY9"
2,2022-06-27 20:38:30+00:00,1541521374266593280,Join us tomorrow morning for Coffee with the Candidate! https://t.co/rqJYOsrvBY
3,2022-06-26 21:52:41+00:00,1541177657135489025,Weekends are for volunteering! Join our team by signing up here: https://t.co/ARZKNKzaa4 https://t.co/QBGUp2HioV
4,2022-06-24 16:14:07+00:00,1540367678010863616,Today the US Supreme Court reversed the unconstitutional Roe v. Wade decision and returned the issue of abortion back to the states where it belongs. 👏
5,2022-06-23 22:17:59+00:00,1540096857631649792,Celebrating our country this year costs 35% more under Joe Biden’s failure of leadership… https://t.co/SJ5tRhIxSh
6,2022-06-22 22:02:00+00:00,1539730448410198022,"New Ad Out 🚨
Citizens in CD1 have a choice to make this primary election season- a corrupted career politician, or a true Conservative outsider in Elijah Norton. https://t.co/UdALDF16r0"
7,2022-06-22 20:54:34+00:00,1539713480135041024,"You are the problem Joe. You shut down the Keystone Pipeline on the first day you took office. Stop shifting blame, it’s too shallow. https://t.co/Phj2XOJaLx"
8,2022-06-22 20:48:38+00:00,1539711986547560448,"More Family Town Halls on the books this week! 

I’ve enjoyed coming to your homes and learning about the issues closest to home in CD1. 

For too long our representatives have been inaccessible, it’s time for change. Sign up on my website to host a family town hall today! https://t.co/w8Q0Kbn5HS"
9,2022-06-22 16:00:00+00:00,1539639348789772288,Joe Biden’s tax and spend policies just forced the Fed to raise interest rates to the highest rate in decades. The Biden Recession is here and we need a proven businessman in Congress to to get us out of it. https://t.co/5iHrXOPtiX
10,2022-06-21 23:15:54+00:00,1539386659656962049,We need fighters representing us! See what my top priorities in Congress will be on my Campaign issue page: https://t.co/rjLAB1giWZ
11,2022-06-21 19:43:26+00:00,1539333188572413952,"We are seeing unprecedented illegal crossings daily at Joe Biden’s direction. We need to secure the border, now!"
12,2022-06-20 21:22:26+00:00,1538995714679640065,"Had a great time speaking with some new potential LD4 precinct committeeman this weekend! 

Getting involved at the base level is how we’re going to win in November. Thanks Dan (LD4 Chair) for paving the way for new Republicans to get involved with the party! https://t.co/M6mfM3jsGL"
13,2022-06-20 20:23:02+00:00,1538980765655891969,"RT @JoshuaWDelano: ICYMI: REAL AMERICA -- Dan Ball W/ ⁦@NortonforAZ⁩ , Tanking Stock Market &amp; Surging Mortgage Rates, 6/17/22

#AZ1  https:…"
14,2022-06-19 19:31:22+00:00,1538605377255665664,"Thank you to the AZTeaParty for recommending me as the choice candidate for CD-1! 

This is a huge honor! I will fight for the values of the original “tea party” of 1773- a limited federal government, fiscal responsibility, and low taxes!

https://t.co/5oHPWkTmfb"
15,2022-06-18 22:27:03+00:00,1538287203423440896,"Last night we hosted our largest event yet! Thanks everyone for making it out, and for the continued support. This is what momentum looks like, here we go! https://t.co/FlZhwoUUep"
16,2022-06-17 18:18:52+00:00,1537862357086482432,Don’t forget! Looking forward to seeing you all tonight. https://t.co/fFTuOfCLR0
17,2022-06-17 00:25:09+00:00,1537592147301388288,"Three words- Family Town Halls. Sign up to host one today! 

We’re on a roll! We’re hosting family town halls almost every night, next time it could be your home/driveway. https://t.co/dZzahxMRYF"
18,2022-06-15 19:24:27+00:00,1537154083622031361,RT @treadwellaz_rep: Successful meet and greet for our potential congressman! Check out his socials to learn more about his vast background…
19,2022-06-15 18:00:12+00:00,1537132880911994880,"American families are struggling under the crushing weight of Bidenflation and reckless energy policy. His response? Another billion in foreign aid...

https://t.co/mIDbdwIt89"
20,2022-06-15 16:00:02+00:00,1537102641515225089,"While hard working Arizonans are being crushed by the disastrous policies of the Biden Administration, Congress is focused on sham committees relitigating the past. Congress is broken, and we need a proven outsider to fix this mess. https://t.co/iffC1P4WFn"
21,2022-06-14 19:24:28+00:00,1536791700248547328,"Two years ago, our economy was thriving, gas was cheap and America was respected in the world. Happy birthday President Trump! https://t.co/hz7uV8I37N"
22,2022-06-14 16:00:00+00:00,1536740244573265920,Happy 247th birthday to the U.S Army. We are grateful for the years of service. https://t.co/n6AP1QqoZ5
23,2022-06-14 15:31:00+00:00,1536732946673147919,"The stars and stripes are a powerful symbol of freedom, hope, and opportunity. Happy Flag Day. https://t.co/8EJOnQTn2B"
24,2022-06-13 21:53:02+00:00,1536466703491575808,FREE PIZZA! Join us this Friday night beginning at 6pm at Il Capo in Scottsdale for free pizza and politics! Come out to meet me and support our campaign. https://t.co/e87LMPWwNg
25,2022-06-13 17:27:11+00:00,1536399799213117440,"I agree. 

https://t.co/aev1AouFHf"
26,2022-06-13 01:15:26+00:00,1536155248808456192,"Town halls, a family affair! 

Thanks for having me out. Sign up to host your own! (Link in bio) https://t.co/01S02yQ6Yb"
27,2022-06-12 00:32:56+00:00,1535782164041674753,Great to have everyone at our campaign HQ for a pancake breakfast this morning! Thanks for coming out. https://t.co/OivEkpBmEO
28,2022-06-11 18:00:00+00:00,1535683283241029637,"The days of corrupt, establishment Republicans are over. I am an America First outsider that will take on the corruption in Congress! Join My Team Today! https://t.co/wr0ZclH0f5"
29,2022-06-10 23:57:34+00:00,1535410877381238785,@RobertjGonza @BarnettforAZ Thanks for the support! We’re going to keep pushing. Defeating a corrupt incumbent just ahead.
30,2022-06-10 20:06:20+00:00,1535352685414604800,"Large or small, Family Town Halls! 

Sign up to have me to your home, let’s talk solutions! (link in bio) https://t.co/wuDOqQGxwr"
31,2022-06-09 22:47:23+00:00,1535030829901942784,Unfit for office. I can’t wait to be a part of the new class of federal Republican legislators who will say enough is enough. #RedWave https://t.co/Q5rqeJxeUF
32,2022-06-09 16:00:00+00:00,1534928306721550338,"Today in the United States of America, 70% of baby formula shelves are STILL empty. The incompetency of Joe Biden knows no bounds and when I am elected I will hold this administration accountable. https://t.co/GrdLy87Qsb"
33,2022-06-08 22:00:44+00:00,1534656699159588864,We’re flipping pancakes and flipping votes once again this Saturday. You’re invited! See you soon. https://t.co/Vcv5xL7LLS
34,2022-06-08 18:39:40+00:00,1534606099059355648,"Successful coffee with the candidate this morning! We will be having more of these, thanks for coming out! 

I wanted to give a quick shoutout to the owners of Village Coffee in Scottsdale for being gracious enough to host the campaign. https://t.co/UWt68W4jDU"
35,2022-06-07 22:18:49+00:00,1534298864236187649,"Big tech will do anything to gain power over the people, even stifle democracy.

We have to elect leaders that will stop them! 

 https://t.co/oAob169diG"
36,2022-06-07 22:14:10+00:00,1534297693400403968,Thank you to the Bohlander’s for inviting me to speak and hosting this Happy Hour for the last year. They have directly impacted the political landscape by inviting people into their home and informing the voters. https://t.co/X1QgFYIQ65
37,2022-06-07 16:00:01+00:00,1534203532810674176,"Our country is facing crisis after crisis from the economy to the border. However, Joe Biden’s top priority is reinstating mask mandates on the American public. Joe Biden is out of touch with Arizona. https://t.co/JnGnqUZVXV"
38,2022-06-06 22:40:43+00:00,1533941988440936448,"This week! Come have a coffee with me, hear about my plan in Congress, and share with me the issues that are close to home. See you Wednesday morning! https://t.co/oF7qE8pZlW"
39,2022-06-06 16:19:59+00:00,1533846170124042240,"""These are the men who took the cliffs. These are the champions who helped free a continent. These are the heroes who helped end a war."" -Ronald Reagan https://t.co/8rhJIvy7mU"
40,2022-06-06 01:25:02+00:00,1533620949773193216,Another great weekend with the @AzFRW. These women are the groundwork of Arizona’s impending Red-wave! Thanks for having me. https://t.co/MCx1cTvoO2
41,2022-06-04 14:34:26+00:00,1533094835216740353,RT @RNCResearch: BREAKING: Gas prices have now DOUBLED since Joe Biden took office.
42,2022-06-03 22:00:01+00:00,1532844580684668929,"Economists are predicting a recession in the next year, and career politicians have no idea how to reverse course. Now more than ever, Arizona needs a proven businessman and entrepreneur in Congress to fight for us! https://t.co/sQpnMXj1GM"
43,2022-06-03 21:50:41+00:00,1532842230930493440,"June is filling up with Family Town Halls! 

To bring me to your home/front yard, all you have to do is sign up on my website (link in bio) and I’ll be there. Can’t wait to meet you! https://t.co/oWPmWFgmYA"
44,2022-06-02 18:43:06+00:00,1532432635087179783,"Join Congressman David Schweikert on his expeditions of corruption and mischievous criminal deeds. Get your copy of ""The Misadventures of Shady Schweikert"" comic book today! Visit https://t.co/nm9JJC1at9 https://t.co/W6llGHeU5R"
45,2022-06-02 16:00:01+00:00,1532391594783125511,"The crime crisis in this country is out of control. The Democrats' policies of defunding the police and having open borders have wreaked havoc on our communities. When I am elected, I will fight to restore Law and Order! https://t.co/dpUbqmDHsh"
46,2022-06-01 21:51:59+00:00,1532117781663125505,"Watch my Politics Unplugged interview below, Dennis and I discuss my Campaign for U.S. Congress, election integrity, and the failure of leadership handling the crisis on our southern border ⬇️ https://t.co/3tbg3mwmBI"
47,2022-05-30 19:16:24+00:00,1531353852854734849,Spent the morning at the Fountain Hills Veteran’s Memorial. Listened to the story of a brave veteran who fought and served in a POW camp during WWII. It’s a solemn reminder that the price of freedom isn’t free. https://t.co/ceavMKZHew
48,2022-05-30 16:00:02+00:00,1531304434352893953,"Today, and every day, we honor the sacrifice of our bravest men and women who fought for our freedoms. https://t.co/LkutAQS8hQ"
49,2022-05-29 00:47:14+00:00,1530712334120800256,"RT @ArizonaYRs: Happy Saturday! Let’s highlight Young Republicans running for office across Arizona! 
@bgmasters, @AbrahamHamadeh, @Nortonf…"
50,2022-05-28 21:38:57+00:00,1530664951538339840,It’s sign season! Here we go. https://t.co/Xb5lWrGgQm
51,2022-05-28 15:55:21+00:00,1530578483683860481,"RT @Breaking_Battle: Don’t forget to tune in today for a new episode of Breaking Battlegrounds. This week, Chuck and Sam are joined by @Nor…"
52,2022-05-27 16:00:00+00:00,1530217263533637632,"Congress is broken and career politicians are the root of the problem. Now more than ever, we need outsiders to fix the system for hard working Americans. https://t.co/odAE3Tvcyn"
53,2022-05-27 02:57:29+00:00,1530020338544672769,"RT @Breaking_Battle: This week on Breaking Battlegrounds, Chuck and Sam are joined by @NortonforAZ, candidate for Congress in Arizona, and…"
54,2022-05-25 21:16:26+00:00,1529572120937873408,"This morning I toured the @phxdreamcenter and learned about the important work they are doing to save victims of human trafficking. When I’m elected, I will work to pass legislation to protect victims of this horrible crime. https://t.co/wYLHbUdnGj"
55,2022-05-25 20:40:12+00:00,1529563003410161666,"Caravans are pouring through the cracks of unfinished border wall and in turn welcomed into our country daily. Border security is national security, and Arizona is on the front line. When I am elected, securing the border will be my number one priority. Watch my new ad: https://t.co/rHNVkimXm9"
56,2022-05-25 19:30:56+00:00,1529545571433783296,@GeorgiaAmster Thanks for your support Georgia! Let’s win.
57,2022-05-25 19:18:56+00:00,1529542549681340417,"Come visit our campaign headquarters 9-5pm weekdays! Pick up your yard sign, campaign merch, and sign up to volunteer! See you soon. 

10789 N 90th st. #203
Scottsdale AZ, 85260 https://t.co/XUgvx7V9ol"
58,2022-05-25 16:00:01+00:00,1529492492554338304,"Inflation is crushing hard working Arizonans, and now 401ks are collapsing due to the reckless policies of the Biden Administration. In Congress, I will fight to get the economy back on track. https://t.co/pbtaY1uuur"
59,2022-05-24 22:04:27+00:00,1529221816572473344,"Can not believe what I’m hearing out of Uvalde, Texas today. I am lifting up prayer for the victims of this unspeakable tragedy…"
60,2022-05-24 17:34:01+00:00,1529153762723770368,"It was great joining @OANN to discuss the incompetence coming out of the Biden Administration that led to the nationwide baby formula shortage and massive supply chain issues. There is a leadership void in Washington and that is why I’m fighting for our country, and for Arizona. https://t.co/Ub3jCgOlo2"
61,2022-05-24 01:49:41+00:00,1528916111827185664,"Just when you think the Far-Left can’t get any more crazy… 

https://t.co/tJ9bQjBko7"
62,2022-05-23 21:53:50+00:00,1528856758810120192,Thanks to the Schafer’s for hosting Patriots in the Park this weekend. They had a huge turnout of local Conservatives trying to keep our state RED this year! Thanks for having me. https://t.co/2dqhcJlAXS
63,2022-05-23 19:09:18+00:00,1528815351990996992,"With Title 42 set to expire this week, the Biden Border Crisis is set to skyrocket to levels never before seen in this country. This will have deadly consequences for Arizona, and when I am elected, I will hold this administration accountable and finish the Wall. https://t.co/eYRnCqaYJ8"
64,2022-05-22 20:27:18+00:00,1528472592293584896,"Hitting the doors, talking to the voters this weekend! https://t.co/bbxGoNheSb"
65,2022-05-21 21:23:26+00:00,1528124330172989440,@eloisetaylor22 Thanks for the support! I will not back down.
66,2022-05-21 21:21:29+00:00,1528123842148716544,RT @OANN: #TheRealStory Baby Formula Shortage with Elijah Norton https://t.co/WPJGJErBt7 #OANN
67,2022-05-21 18:34:09+00:00,1528081728241250304,RT @packamerica: Great to have @NortonforAZ  in the America Pack house last night. Lots of fight and passion in him.
68,2022-05-21 04:58:56+00:00,1527876576104198145,"@EdwMorabito Good to see you, Ed! Thanks for the support."
69,2022-05-21 04:58:34+00:00,1527876481065488385,RT @EdwMorabito: Good to see and hear AZ CD1 candidate ⁦@NortonforAZ⁩ at America Pack. We need 435 of him in Congress. https://t.co/xpaY4qN…
70,2022-05-21 02:43:06+00:00,1527842389548625920,Back @ America Pack @packamerica https://t.co/OiMEo5DqcN
71,2022-05-20 16:03:06+00:00,1527681328866418688,Thanks for letting me be apart of the North Valley YR kick off! @AriBradshawAZ @thejennarayne_ @aznvyr you guys killed it. https://t.co/sYNB5tCsBF
