,Created at,User ID,Text
0,2022-06-27 23:14:45+00:00,1541560695480881153,RT @LizLemeryJoy: More than 1 million voters switch to GOP in warning for Dems…after becoming increasingly concerned about Democrats’ suppo…
1,2022-06-27 13:59:47+00:00,1541421032678072320,"More than 1 million voters switch to GOP in warning for Dems…after becoming increasingly concerned about Democrats’ support for mandatory COVID-19 vaccines, the party’s inability to quell violent crime… also listed, cost of living, gas, no baby formula  https://t.co/z6wr6lTgCm"
2,2022-06-26 10:24:22+00:00,1541004434649522176,"RT @LizLemeryJoy: People are concerned about the cost of living, paying for their gas &amp; groceries in my district- NY20. They truly feel lik…"
3,2022-06-25 18:39:42+00:00,1540766701251244033,"People are concerned about the cost of living, paying for their gas &amp; groceries in my district- NY20. They truly feel like they are losing their savings &amp; ability to keep up. In Congress I will get to work for Energy Independence to immediately drive down people’s gas &amp; oil costs"
4,2022-06-24 18:41:20+00:00,1540404725149044736,RT @LizLemeryJoy: My Statement on the Supreme Court’s Roe v. Wade decision. #RoeVsWade https://t.co/HqLCfO2pNf
5,2022-06-24 18:10:06+00:00,1540396864876544001,Looking forward to it! https://t.co/jFZIlOpr9c
6,2022-06-24 17:03:12+00:00,1540380030521561099,My Statement on the Supreme Court’s Roe v. Wade decision. #RoeVsWade https://t.co/HqLCfO2pNf
7,2022-06-24 00:53:11+00:00,1540135917175930880,RT @LizLemeryJoy: My statement on the #SCOTUS ruling today.🇺🇸 https://t.co/xOZoqw0ptH
8,2022-06-23 21:15:55+00:00,1540081241617227777,My statement on the #SCOTUS ruling today.🇺🇸 https://t.co/xOZoqw0ptH
9,2022-06-23 12:59:41+00:00,1539956360208683008,Great Meet &amp; Greet in Saratoga County last night supporting my campaign for Congress! Thank you! And- have you RSVP’d for my BBQ happening this Sunday? Here’s the link! https://t.co/xNVj4E25ER https://t.co/ohjV3P81A2
10,2022-06-21 22:52:48+00:00,1539380845584211975,Wow!🇺🇸 https://t.co/SIbcU85cgm
11,2022-06-20 23:42:05+00:00,1539030858249666560,"RT @LizLemeryJoy: I’m hosting a BBQ! All Law Enforcement, Firefighters, EMT’s, Veterans are free! Live Band &amp; Axe Throwing, by Generation A…"
12,2022-06-20 19:48:15+00:00,1538972013171187714,"The Former Governor of Missouri, and now GOP U.S. Senate Candidate Eric Greitens political ad is completely and absolutely horrific. It’s grossly inappropriate and beyond disturbing! An appalling ad promoting the killing of political opponents. Sickening! #EricGreitens"
13,2022-06-20 19:05:48+00:00,1538961331675611137,"I’m hosting a BBQ! All Law Enforcement, Firefighters, EMT’s, Veterans are free! Live Band &amp; Axe Throwing, by Generation Axe! Lots of food! Kids under 18 free!🇺🇸 We could all use a little outdoor fun &amp; laughs! You Must RSVP! Location only provided upon RSVP https://t.co/xNVj4E25ER https://t.co/jaTbhgkz2l"
14,2022-06-20 14:38:27+00:00,1538894049557585921,"Stock market's fall has wiped out $3T in retirement savings this year -This is Biden &amp; my opponent, Dem Paul Tonko’s “Build Back Better” plan at work. Devastating people’s savings &amp; retirements. “It’s Time to Put Joy back in NY” -vote Liz Joy for Congress. https://t.co/IZ8Z4lsCUA"
15,2022-06-16 12:05:46+00:00,1537406076768993285,"Our Pistol Permit Safety Course, the required course to owning a pistol here in New York, is a huge hit tonight! All sold out! We will do more of these! Stay tuned! New Yorkers want their 2nd Amendment preserved 🇺🇸 In Congress I will always preserve our Constitution. https://t.co/hfbN1olDd1"
16,2022-06-16 02:17:02+00:00,1537257913781198848,"RT @LizLemeryJoy: Our Pistol Permit Safety Course, the required course to owning a pistol here in New York, is a huge hit tonight! All sold…"
17,2022-06-15 22:58:50+00:00,1537208036191780866,"Our Pistol Permit Safety Course, the required course to owning a pistol here in New York, is a huge hit tonight! All sold out! We will do more of these! Stay tuned! New Yorkers want their 2nd Amendment preserved 🇺🇸 In Congress I will always preserve our Constitution. https://t.co/ddE3IbUPuc"
18,2022-06-14 20:53:07+00:00,1536814011815276544,"RT @LizLemeryJoy: @DaphneJordan46 you are a great Senator! I’m disgusted with what my own Senator, Career Politician, Republican Jim Tedisc…"
19,2022-06-14 19:06:21+00:00,1536787143342931969,I love the United States of America. And I will always honor our Flag🇺🇸 https://t.co/FrmVWxwCWw
20,2022-06-14 18:37:52+00:00,1536779974841192450,a vicious thing to do. I am so glad to call you my friend. Thank you for your integrity serving NY’ers. I still hope you win on the ballot November 8th! 🇺🇸
21,2022-06-14 18:37:51+00:00,1536779971242430465,"@DaphneJordan46 you are a great Senator! I’m disgusted with what my own Senator, Career Politician, Republican Jim Tedisco has done by bailing on my hometown district, to purposely run in yours, a place he doesn’t even live to force a primary against a Republican colleague. What https://t.co/cN6GF2ODAt"
22,2022-06-14 18:34:35+00:00,1536779147976101888,@sarah_ashleySA @PaulTonko Thank you so much!🇺🇸
23,2022-06-14 11:51:17+00:00,1536677652840472576,"RT @LizLemeryJoy: My entire home is heated with oil heat. We normally try to pre-pay for the year to lock in a fixed rate. We paid $5,000 l…"
24,2022-06-14 01:18:10+00:00,1536518326276562945,oil pipelines now and we must drive down inflation. VOTE OUT my do nothing opponent Paul Tonko!
25,2022-06-14 01:18:10+00:00,1536518325253165056,"prices is going to utterly devastate people and entire families. We are going to see more and more New Yorkers lining up at food banks, and plunging into poverty over this. Hard-working New Yorkers will not be able to make ends meet. This on top of taxes! We must open our gas and"
26,2022-06-14 01:18:10+00:00,1536518323952812034,"My entire home is heated with oil heat. We normally try to pre-pay for the year to lock in a fixed rate. We paid $5,000 last year for our pre-pay. We got our bill for pre-pay in the mail today. It went up to an astounding $10,000! Doubled! This, on top of both gas and grocery"
27,2022-06-13 00:02:04+00:00,1536136785948024839,"RT @LizLemeryJoy: I’m grateful the @NRCC has recognized our campaign’s momentum and energy on the ground, that opens the door to new resour…"
28,2022-06-12 22:05:57+00:00,1536107562650722307,"RT @LizLemeryJoy: Will my opponent far left Dem, Paul Tonko be denouncing planned assassination attempt on Supreme Court Justice Kavanaugh?…"
29,2022-06-12 15:13:16+00:00,1536003707808137221,"Will my opponent far left Dem, Paul Tonko be denouncing planned assassination attempt on Supreme Court Justice Kavanaugh? Authorities found a Glock 17 handgun, two magazines &amp; ammunition, a tactical knife, pepper spray, zip ties, hammer, screwdriver…But not one word from Tonko."
30,2022-06-12 14:56:05+00:00,1535999386815193090,"Americans. With out of control inflation costing Americans thousands of dollars more a year, and criminals being coddled by Democrats like Paul Tonko, we need a change now."
31,2022-06-12 14:56:05+00:00,1535999384919449602,"I’m grateful the @NRCC has recognized our campaign’s momentum and energy on the ground, that opens the door to new resources that will help us defeat failed Paul Tonko in 149 days! I will fight to regain our country from the radical left that is completely out of touch with all https://t.co/FrzxaTP4A5"
32,2022-06-09 23:28:45+00:00,1535041239476731918,"RT @LizLemeryJoy: 110K lbs of baby formula just arrived from Germany, landing in Texas. U.S. babies have been w/o proper supplies for over…"
33,2022-06-09 18:00:38+00:00,1534958664200626182,"110K lbs of baby formula just arrived from Germany, landing in Texas. U.S. babies have been w/o proper supplies for over 4 months! It will take more months for supplies. Now we’re being told there is a grain shortage that will cause millions hunger problems! Biden is a disgrace!"
34,2022-06-09 17:39:52+00:00,1534953440656384000,"RT @LizLemeryJoy: New York’s one party rule says New Yorkers deserve to be safe- yet they’ve still done nothing to repeal Bail Reform, whic…"
35,2022-06-08 21:28:12+00:00,1534648511454650371,"RT @LizLemeryJoy: 153 days until midterms! 11/8. I am laser focused on becoming elected to Congress in NY20- so I can fix our economy, driv…"
36,2022-06-08 12:44:51+00:00,1534516806500634627,"153 days until midterms! 11/8. I am laser focused on becoming elected to Congress in NY20- so I can fix our economy, drive down inflation/gas prices, make our cities &amp; schools safe again and get rid of unconstitutional mandates. We can save our Country.
https://t.co/Ch36MCFS7T"
37,2022-06-08 00:28:20+00:00,1534331454884392967,Well said! https://t.co/P04Ks0rBye
38,2022-06-07 01:20:42+00:00,1533982249019924480,"RT @LizLemeryJoy: May we honor those who fought for us &amp; our Country. “Soldiers, Sailors, and Airmen of the Allied Expeditionary Force!
You…"
39,2022-06-06 13:44:00+00:00,1533806915247124481,"May we honor those who fought for us &amp; our Country. “Soldiers, Sailors, and Airmen of the Allied Expeditionary Force!
You are about to embark upon the Great Crusade, toward which we have striven these many months. The eyes of the world are upon you” Gen. Eisenhower picture credit https://t.co/rYiUPRQy2M"
40,2022-06-04 11:06:40+00:00,1533042548071190528,RT @LizLemeryJoy: The lack of urgency out of the White House and my elitist opponent Paul Tonko is outrageous. This is unsustainable for th…
41,2022-06-03 19:42:58+00:00,1532810091564617728,RT @LizLemeryJoy: Have you always wanted to get your NY Pistol Permit but weren’t sure how? Everything you need here. Join my Pistol Permit…
42,2022-06-03 15:32:03+00:00,1532746944069632003,Have you always wanted to get your NY Pistol Permit but weren’t sure how? Everything you need here. Join my Pistol Permit Safety Class June 15th. Only listed Counties apply. Details here: https://t.co/tzF6TYUdTv https://t.co/ZV0z32JAG7
43,2022-06-03 13:34:46+00:00,1532717430497239042,"RT @LizLemeryJoy: Meanwhile: Still No Baby Formula for America’s babies. But Tonko’s priority👇
“House Energy &amp; Commerce Environment &amp; Clima…"
44,2022-06-03 11:40:26+00:00,1532688659102814210,"It’s important to bring attention to these incidents. They happen regularly. Good, law abiding citizens intervening to save others. Seconds really do matter. The Second Amendment saves lives. https://t.co/dWZ4bQf3lj"
45,2022-06-02 18:33:57+00:00,1532430335564206090,"Meanwhile: Still No Baby Formula for America’s babies. But Tonko’s priority👇
“House Energy &amp; Commerce Environment &amp; Climate Subcommittee Chairman Paul Tonko calls the move a “major down payment” The U.S. Releases $500 Million to Make School Buses Electric”https://t.co/xCqsHHL57d"
46,2022-06-02 17:51:45+00:00,1532419713195724800,"The lack of urgency out of the White House and my elitist opponent Paul Tonko is outrageous. This is unsustainable for the average American, especially for those that must drive for work. We must work towards energy independence. https://t.co/jlhs2ISQ19"
47,2022-06-02 17:31:28+00:00,1532414607733755904,"RT @LizLemeryJoy: As a Mom of 4, I can’t think of anything more anxiety provoking than not having food for your infant. I’m posting the “Do…"
48,2022-06-02 14:21:53+00:00,1532366899509608448,RT @NewYorkTRS: Blow this tweet up and let's try to get @HighSchoolReps to 150 followers by this time next week! @claudiatenney @GavinWax @…
49,2022-06-02 12:28:18+00:00,1532338317374722052,simple recipe to feed your infant if breast milk isn’t an option? No. None of them have. They would rather hold committee hearings. Let’s get our babies fed. Let’s vote out the career politicians. Let’s make sure our babies and parents never have to go through this again.
50,2022-06-02 12:28:18+00:00,1532338316078727171,"Americans, now 45 years old and over. *(I took the picture of continued bare shelves this week. This is my local Market 32 store in Glenville. It’s happening everywhere.) And while all of the bureaucrats bicker- Have you seen any of them actually post a"
51,2022-06-02 12:28:18+00:00,1532338314698711040,"whose never had a child) But, I’m a Mom, not a politician- Bureaucrats are causing this formula shortage that has been going on for months! I want every Mom and Dad to have an easy, accessible option to temporarily feed their infant. This is the formula recipe used for many"
52,2022-06-02 12:28:17+00:00,1532338312299659264,"As a Mom of 4, I can’t think of anything more anxiety provoking than not having food for your infant. I’m posting the “Do it Yourself” recipe again. I got huge pushback for it- including scathing articles- and ugly criticism from my 72 year old opponent, Paul Tonko (A single man https://t.co/W78tsaz4rg"
53,2022-06-01 21:38:38+00:00,1532114425423052800,crime by supporting our police and first responders.
54,2022-06-01 21:38:38+00:00,1532114424290590728,"an absolute honor to have the brave men and women of law enforcement put their faith in me and my Campaign. In Congress, I will fight for our law enforcement officers and make sure they have the funding and support they deserve. Their job has never been harder, and we must combat"
55,2022-06-01 21:38:38+00:00,1532114421568442368,"I’m so happy to announce that I have received two prominent law enforcement endorsements today for my Congressional Race to win NY-20! The Schenectady Police Benevolent Association and The New York State Law Enforcement Officers Union, Council 82 are backing my Candidacy. It is https://t.co/1fAAEbJgZL"
56,2022-06-01 11:34:27+00:00,1531962375443828743,"New York’s one party rule says New Yorkers deserve to be safe- yet they’ve still done nothing to repeal Bail Reform, which has caused a massive violent crime surge across our State."
57,2022-06-01 02:23:57+00:00,1531823839562407936,"I will always fight for the people in the Capital Region. In Congress, I will work to drive⬇️high prices on gas &amp; food. I will always prioritize the safety &amp; security of our school children. As a Mom of 4, I understand these concerns &amp; will represent every family in the district. https://t.co/w6y1mxEUMj"
58,2022-05-30 23:10:18+00:00,1531412717634048009,"RT @LizLemeryJoy: Today is about them. 🇺🇸 Take a moment, say a prayer. Honor them and their sacrifice. #memorialday https://t.co/8eZfVviZeE"
59,2022-05-30 19:37:22+00:00,1531359129658343424,"Today is about them. 🇺🇸 Take a moment, say a prayer. Honor them and their sacrifice. #memorialday https://t.co/8eZfVviZeE"
60,2022-05-30 13:03:13+00:00,1531259939070652422,"Memorial Day🇺🇸 It’s about those that fought for us and didn’t come home. Freedom meant so much to these brave men and women, they sacrificed it all. Let’s honor them and pray for their families. Let all of us continue forward fighting for freedom &amp; liberty. We must never forget🗽 https://t.co/ebijKG5rAa"
61,2022-05-28 23:32:36+00:00,1530693553336135680,@MayraFlores2022 @TexasYRs @HidalgoYRs @TexasGOP @NRCC @GOP @RNC_RGV @RNCLatinos @HidalgoCoGOP @CameronCtyGOP Cheering you on! 🙌
62,2022-05-28 20:24:06+00:00,1530646113832796161,RT @LizLemeryJoy: Beginning Memorial Day Weekend- all the Democrats can talk about is repealing the 2nd Amendment. The reason we are the Un…
63,2022-05-28 10:38:05+00:00,1530498638425767936,"This Memorial Day weekend, let’s truly remember the sacrifice of those who gave all. ❤️ https://t.co/zbpkY9EdeD"
64,2022-05-28 00:40:34+00:00,1530348268013617153,"As a Veteran’s wife, Blue Star Mom &amp; Mother of 4 that was brutally assaulted in 2018- I’m very thankful for 2A &amp; proud to be on Board of Directors for NY State Rifle &amp; Pistol Association. I’m grateful for @EliseStefanik &amp; all professionals that work to uphold 2A. #Constitution https://t.co/uJGKTHvd0V"
65,2022-05-27 23:45:01+00:00,1530334289753145346,"RT @LilyW57660599: @LizLemeryJoy 26M ppl in Shanghai imprisoned their own homes, why? No second amendment"
66,2022-05-27 23:25:57+00:00,1530329492236816384,"Beginning Memorial Day Weekend- all the Democrats can talk about is repealing the 2nd Amendment. The reason we are the United States of America, is because of our 2nd Amendment and the right to bear arms. Without it- all U.S. citizens will be taken over by tyrannical Government."
67,2022-05-27 17:37:34+00:00,1530241818327232513,The fact that cowards stood around and did nothing to help this woman is absolutely despicable! People need to stop videoing and start helping! I would have intervened physically and helped this woman. Enough! https://t.co/vqehshZBuc
68,2022-05-26 21:08:25+00:00,1529932490823151616,What could possibly go wrong? A compliance microchip pill to let authorities know you complied…..Pfizer CEO- https://t.co/rDk4Pu0umw
69,2022-05-26 16:04:41+00:00,1529856053336231938,"RT @LizLemeryJoy: What a despicable shame that my elderly opponent, Paul Tonko- a 72 year old man, whose never birthed a baby, would critic…"
70,2022-05-26 13:38:18+00:00,1529819214642651136,"What a despicable shame that my elderly opponent, Paul Tonko- a 72 year old man, whose never birthed a baby, would criticize me, a Mom of 4- for helping anxious Moms w/homemade Baby formula recipes. He’s so out of touch. Joy shares emergency formula recipe https://t.co/AXGBQ1f92m"
71,2022-05-25 15:04:51+00:00,1529478609756381184,"RT @LizLemeryJoy: I am so heavy hearted and grieved for the small children and their families in Uvalde, Texas. We must do more to protect…"
72,2022-05-25 12:01:35+00:00,1529432488027770880,resource officers. It’s common sense. We must protect our children.
73,2022-05-25 12:01:34+00:00,1529432486828294145,"officers in every school in America. Our children need to be safe. Our teachers need to be safe instructing their classes, and parents must know their children are going into school buildings that are protected with armed security. I am a very strong advocate for armed school"
74,2022-05-25 12:01:34+00:00,1529432485389602819,"I am so heavy hearted and grieved for the small children and their families in Uvalde, Texas. We must do more to protect our children in their schools. I have been publicly stating for 10 years, since the Sandy Hook Elementary School massacre, we need armed school resource"
75,2022-05-25 01:39:17+00:00,1529275883239919618,RT @maggieslist1: @LizLemeryJoy Thrilled with your candidacy!  Thanks @CheleFarley for recommending your endorsement @maggieslist1
76,2022-05-24 20:42:58+00:00,1529201310616133633,Tragic and heartbreaking. https://t.co/FwIC3RSJBS
