,Created at,User ID,Text
0,2022-06-27 23:38:10+00:00,1541566588234735617,"RT @TeamGreitens: Jefferson County stands behind @EricGreitens! 🇺🇸

#MOSEN https://t.co/LFvnsEzToH"
1,2022-06-27 23:02:04+00:00,1541557503070273538,RT @RealDylanMO: A line out the door &amp; a full room of America First conservatives in Arnold ready to FIRE the RINOs &amp; support @EricGreitens…
2,2022-06-27 19:33:48+00:00,1541505094449086464,Praying everyone involved is okay. https://t.co/c9bXs68x02
3,2022-06-27 16:20:55+00:00,1541456553194258437,RT @OANN: Greitens: American people are sick of RINO’s https://t.co/BkU47SMz6M #OANN
4,2022-06-27 15:48:06+00:00,1541448293514887171,See you tonight in Arnold! https://t.co/xqz4HNJ3M1
5,2022-06-26 16:47:30+00:00,1541100851992924162,"Exclusive – Missouri GOP Senate Candidate Eric Greitens: SCOTUS Abortion Ruling 'Not Possible Without Donald Trump'
https://t.co/UF3c2kJUjz"
6,2022-06-26 01:25:18+00:00,1540868775901364224,"It was great to be with an army of Missourians who traveled to support President Trump!

President Trump said it best: In 2022, we will take back the Senate &amp; Save America! https://t.co/UfP7OHlcpD"
7,2022-06-26 00:15:15+00:00,1540851145870041088,Exclusive – Candidate Eric Greitens: 'People Are Sick of RINOs' https://t.co/2J90rf9ned
8,2022-06-25 22:43:13+00:00,1540827984180936705,"Polls Show Greitens Leading Primary, Likely to Win Senate Seat in November https://t.co/8u0CaQlws0"
9,2022-06-25 02:39:30+00:00,1540525060993302528,McConnell-Linked RINOs Launch Super PAC Against U.S. Senate Candidate Eric Greitens in Missouri - Big League Politics https://t.co/qRMGHNK6ll
10,2022-06-25 00:47:37+00:00,1540496902982172672,"⚠️ BIG TECH CENSORSHIP ⚠️

When I get to the US Senate, we are taking on the Big Tech oligarchs. https://t.co/TYFyZjJG8H"
11,2022-06-24 23:30:00+00:00,1540477371223945216,"Any day spent in an ice cream shop is a GREAT day!

We had a blast meeting with voters in Benton County in Downtown Warsaw.

This campaign is fueled by the GRASSROOTS! https://t.co/3q2g4a5dD4"
12,2022-06-24 23:00:48+00:00,1540470024133042181,"RT @RealAmVoice: What will the Left do now that Roe V. Wade is overturned?

We discuss this and more tonight on @RealDrGina #PrimeTime at 7…"
13,2022-06-24 22:10:51+00:00,1540457452621234176,"I fight for you, so they come for me. https://t.co/EKi3lNT2Ge"
14,2022-06-24 20:19:31+00:00,1540429431990374401,Today's decision by the Supreme Court is a HUGE victory for the Life movement. https://t.co/rkxCmDEzKw
15,2022-06-24 19:41:26+00:00,1540419850195140608,"RT @DonaldJTrumpJr: When nearly any other Republican President would have folded to the pressure from the left and the media, Donald J. Tru…"
16,2022-06-24 16:39:49+00:00,1540374143840944128,"President Trump deserves the credit for SCOTUS overturning Roe v. Wade.

Sure RINO McConnell &amp; the GOP held a seat for a couple of months, but President Trump beating Hillary Clinton, with no help from establishment RINOs, is what made this possible.

Thank you, 45! 🇺🇸"
17,2022-06-24 16:19:49+00:00,1540369112001658880,RT @Joshua_R_Hamm: Missouri leading the way. Good job MO.
18,2022-06-24 16:07:56+00:00,1540366119369859073,"As Governor, I called a pro-life special session to achieve the Missouri Miracle, making Missouri the safest state in the country for the unborn.

Today, the Supreme Court’s historic decision marks the end of abortion in Missouri, for good. https://t.co/mIigCaoNAI"
19,2022-06-24 14:54:37+00:00,1540347671789326338,"RT @RNRenewal: At this point, you're either Team @EricGreitens or you're @Team_Mitch."
20,2022-06-24 14:49:45+00:00,1540346446725226499,"As Governor, I called a pro-life special session to achieve the Missouri Miracle, making Missouri the safest state in the country for the unborn.

Today, the Supreme Court’s historic decision marks the end of abortion in Missouri, for good.
https://t.co/x2XCmKEl17"
21,2022-06-24 14:36:10+00:00,1540343025267888129,"RT @CaliforniaPanda: Today, the right to life is protected.

This day was in part because the people chose Donald Trump as their president…"
22,2022-06-24 14:27:19+00:00,1540340800822837248,"BREAKING: Supreme Court Overturns Roe v. Wade.

A MAJOR victory for LIFE in America! https://t.co/sDzLtrks5i"
23,2022-06-24 12:47:05+00:00,1540315577272631298,"Joe Biden gave 300,000 guns to the Taliban.

I will never let the Biden Administration lecture Missourians about their guns."
24,2022-06-24 00:48:25+00:00,1540134718024388611,Top Mitch McConnell Donor Working to Stop Eric Greitens https://t.co/stvHF38FlW
25,2022-06-23 20:52:52+00:00,1540075438449610752,"2017: Trump nominates Neil Gorsuch.
2018: Trump nominates Brett Kavanaugh.
2020: Trump nominates Amy Coney Barrett. 

Today, thanks to President Trump, the Supreme Court delivered a huge victory for the 2nd Amendment."
26,2022-06-23 19:27:48+00:00,1540054031137136640,One of McConnell’s biggest donors are funding this Lincoln Project style group. https://t.co/cxHgoiDB24 https://t.co/WWstpMHEGH
27,2022-06-23 19:10:51+00:00,1540049766918377472,RT @dcexaminer: A spokesperson for @EricGreitens’s Senate campaign said Thursday that the ex-Missouri governor has been granted custody of…
28,2022-06-23 18:33:56+00:00,1540040473972203520,Allies to RINOs Mitch McConnell and John Boehner are behind these disgusting lies. https://t.co/QwjjFZb0BD
29,2022-06-23 17:01:25+00:00,1540017191868928003,"Statement from Gary Stamper, Attorney for Eric Greitens: https://t.co/FQojFX25nR"
30,2022-06-23 01:56:20+00:00,1539789420479614977,I’m honored to be endorsed by Missouri Right to Life. https://t.co/Jm8W1lTa3R
31,2022-06-22 18:40:46+00:00,1539679804978565120,"RT @RealDylanMO: More campaign stops in ice cream parlors!🍦

A packed room for @EricGreitens in Warsaw, MO on this Wednesday afternoon…

Pe…"
32,2022-06-22 16:30:59+00:00,1539647145174769666,The RINOs are at it again… https://t.co/81aXuVBIF8
33,2022-06-22 12:01:05+00:00,1539579225036005376,"A temporary gas tax holiday is a gimmick. 

A one-time gas rebate is a gimmick.

Missourians want President Trump's energy policies back."
34,2022-06-22 02:34:57+00:00,1539436750241681408,"Text of a new gun confiscation bill was passed tonight in the Senate. 

They didn’t want anyone to actually review the text because this will be one of the most anti-2A laws ever passed.

We need new Senate leadership instead of these weak RINOs who cave to liberals every time."
35,2022-06-22 02:32:19+00:00,1539436089827549186,"RT @JackPosobiec: Polls Show Greitens Leading Primary, Likely to Win Senate Seat in November  https://t.co/PsFKnffpbB"
36,2022-06-22 01:28:35+00:00,1539420049068417030,"RT @ColumbiaBugle: Tucker Carlson Blasting Senate RINOs Over Gun Control Deal w/ The Left &amp; Their Plans To Sell Out On Immigration

""Has th…"
37,2022-06-21 19:14:57+00:00,1539326019626213377,RT @kimguilfoyle: Adam Schiff keeps his 'evidence' of President Trump's involvement with January 6th in the same place he kept his 'evidenc…
38,2022-06-21 18:32:01+00:00,1539315217280008194,RT @alexbruesewitz: NEW: Recent polls show that @EricGreitens is well positioned to win the GOP primary in Missouri. Survey results also su…
39,2022-06-21 17:09:40+00:00,1539294491223511044,"The @January6thCmte hearings are nothing more than a massive distraction to cover up Biden's disastrous policies that are destroying our country.

I'm proud to be the only candidate in this race who has called out the fraudulent committee and their witch-hunt against Pres. Trump. https://t.co/kdS6g7ZKQT"
40,2022-06-21 16:12:57+00:00,1539280217981714436,Exclusive — Eric Greitens: January 6 Committee Hearings Are ‘Massive Distraction’ from Biden’s Failures https://t.co/KrTiFwmGlB
41,2022-06-21 13:39:55+00:00,1539241709611192321,"Thank you, Camden County!

Together, we will fire the RINO career politicians and save America! https://t.co/8ZhhHzAOPT"
42,2022-06-20 22:26:35+00:00,1539011861437374464,"Big Tech is once again meddling in our elections and putting their thumb on the scale. 

When I’m U.S. Senator, I will fight against the disgusting tech oligarchs from stealing any more elections.
https://t.co/F7CfRG5uw3"
43,2022-06-20 16:58:24+00:00,1538929268209725446,"RT @alexbruesewitz: Today: CNN, Adam Kinzinger, Washington Post, Facebook, and almost every other democrat you can think of is attacking ul…"
44,2022-06-20 16:23:16+00:00,1538920428382457860,"Thank you to @washingtonpost for hosting our video on their website! 

Everybody can visit the link below to see our new ad!
https://t.co/lQ4zRatxP7"
45,2022-06-20 15:15:21+00:00,1538903337692700673,Did Fang Fang write this? https://t.co/auwNJLymUf
46,2022-06-20 14:01:55+00:00,1538884854665859072,https://t.co/1iHEeVzfly
47,2022-06-20 13:30:00+00:00,1538876823978713089,"We are sick and tired of the Republicans in Name Only surrendering to Joe Biden &amp; the radical Left.

Order your RINO Hunting Permit today! https://t.co/XLMdJnAzSK"
48,2022-06-19 03:56:52+00:00,1538370204144652288,RT @DonaldJTrumpJr: I’m just shocked they let him ride a bike without training wheels.
49,2022-06-19 02:44:13+00:00,1538351921492279296,"Exclusive — Eric Greitens: January 6 Committee Hearings Are ‘Massive Distraction’ from Biden’s Failures
https://t.co/KrTiFwmGlB"
50,2022-06-18 14:15:13+00:00,1538163428279341056,"RT @SiriusXMPatriot: Today on @BreitbartNews Saturday with @mboyle1 
@RussellFrySC @RepMattGaetz @EricGreitens
@KatieBrittforAL  and @EricG…"
51,2022-06-18 00:21:54+00:00,1537953714681483266,"🚨 I’m honored to receive the endorsement of @MORight2LifePAC!

I am 100% pro-life! #MOSEN https://t.co/EZOekanKYd"
52,2022-06-17 20:17:09+00:00,1537892122564538370,"ICYMI: “Exclusive–Greitens: The U.S. Senate Doesn’t Just Need More Fighters, It Needs New Leadership When Republicans Reclaim the Majority”
https://t.co/LRizt5Tp3x"
53,2022-06-17 18:27:56+00:00,1537864638095933441,"RT @EricGreitens: Every day we are on the ground -- hearing from the people and letting them know our simple message: No more RINOs!

When…"
54,2022-06-17 17:28:29+00:00,1537849678800248832,"St. Louis Metro Population: 2.8 million

Illegal border crossings under Biden: 3.5 million

This is what an invasion looks like."
55,2022-06-17 13:01:29+00:00,1537782485098045442,"$40 billion for Ukraine in May.

$1.2 billion for Ukraine in June.

The Biden Administration must have forgotten that we have 8.6% inflation, 74% of baby formula out-of-stock, and a border crisis here at home."
56,2022-06-16 19:20:14+00:00,1537515409993506816,"A gallon of gas was $2.25 on January 6, 2021."
57,2022-06-16 17:18:36+00:00,1537484799794978818,RT @AP4Liberty: Eric Greitens has all the right enemies.
58,2022-06-16 14:59:53+00:00,1537449893157117953,"The only candidate in the race for the US Senate from Missouri who will keep moving under fire is Eric Greitens.

Pick up what you can, and follow the bloodied man who’s yelling “follow me.”

The mission will be accomplished.
Vote Greitens and keep moving.
https://t.co/Hojy4riebg"
59,2022-06-16 02:05:10+00:00,1537254930603450368,"RT @EricGreitens: Striking fear into the hearts of liberals, RINOs, and the fake media.

Great day of shooting in Missouri with .@DonaldJTr…"
60,2022-06-14 20:50:45+00:00,1536813415745855488,"18 U.S. Code § 700 - Desecration of the flag of the United States

Whoever knowingly mutilates, defaces, defiles, burns, maintains on the floor or ground, or tramples upon any flag of the US shall be fined or imprisoned for not more than one year, or both. https://t.co/6zUw0P6FnK"
61,2022-06-14 17:39:58+00:00,1536765404391022595,"Every day we are on the ground -- hearing from the people and letting them know our simple message: No more RINOs!

When I get to the US Senate, we are taking on the Left &amp; the do-nothing RINO Swamp!

It was a GREAT night in Camdenton last night! https://t.co/JTbTgjWioj"
62,2022-06-14 16:59:28+00:00,1536755211032743939,"Happy Birthday, President Trump! https://t.co/yPPELQCNQy"
63,2022-06-14 16:49:14+00:00,1536752637827219456,"In 2020, Joe Biden said there would be 'no ability for the oil industry to continue to drill.'

2 years later, Missourians are paying a record $4.68 for a gallon of gas."
64,2022-06-14 13:07:51+00:00,1536696924828536836,"Dow: Lower than when Joe Biden took office

NASDAQ: Lower than when Joe Biden took office

S&amp;P 500: Lower than when Joe Biden took office

Retirement accounts miss President Donald J. Trump."
65,2022-06-14 04:34:22+00:00,1536567701946126337,"@JCunninghamMO Thank you, Senator!"
66,2022-06-14 04:34:12+00:00,1536567659399086082,RT @JCunninghamMO: I had the privilege of introducing Gov. Eric Greitens in Camdenton tonight on his statewide NO MO RINOS tour. Our area h…
67,2022-06-14 01:29:22+00:00,1536521144886599682,"RT @TeamGreitens: MAGA Navy SEAL @EricGreitens hosts a Monday evening townhall with voters in Camden County!

#NoMoRINOs #MOSEN https://t.c…"
68,2022-06-14 00:29:39+00:00,1536506115881586690,"In America, we are innocent until proven guilty.

That's the exact problem with red flag laws."
69,2022-06-13 19:32:52+00:00,1536431428900163586,📈 SurveyUSA Poll Shows @EricGreitens Beats Any Democrat by Largest #MOSEN Margin 10 Years https://t.co/1pTF2ry0I1
70,2022-06-13 19:09:47+00:00,1536425617427685382,"“@RiverfrontTimes: “The stars could not have aligned better for Greitens”

I’ve been talking about Election Integrity since before the 2020 election— and we will keep fighting to SECURE our elections! https://t.co/WR3QvyEFaa"
71,2022-06-13 14:15:00+00:00,1536351432634380290,"Not one, but FOUR recent polls show us winning BIG on August 2nd!

When I'm elected to the U.S. Senate, I will fight for President Trump's America First agenda and put a stop to the liberal assault on our country. https://t.co/MUArEatu33"
72,2022-06-12 21:55:11+00:00,1536104854871060485,"Give them an inch, they’ll take a mile.

Very disappointing to see some in our party join Democrats to push gun control.

When I’m in the US Senate, I will ALWAYS protect our 2A rights!"
73,2022-06-11 15:30:00+00:00,1535645531195822085,What they don't want you to know about 06 January... https://t.co/2X7Mz964C6
74,2022-06-11 02:27:30+00:00,1535448608979439617,RT @theMAGAseven: Layoff Lying Liz Cheney and support Harriet Hageman in WY and the MAGA 7 Congressional Candidates that will bring back th…
75,2022-06-10 23:26:30+00:00,1535403059983024131,"Proud to have the endorsement of Veterans for America First! 

#MOSEN https://t.co/HRZfDxu47U"
76,2022-06-10 21:53:31+00:00,1535379661571493888,"RT @kimguilfoyle: Paul Pelosi: DUI charges may get dropped.

Hunter Biden: Zero charges for violating federal gun law.

Hillary Clinton: No…"
77,2022-06-10 15:14:41+00:00,1535279289930743809,"While Joe Biden naps, the Radical Left has intentionally destroyed the American economy. 

Today, inflation hit 8.6%— a 40 year high.

When I get to the US Senate, we are ending the out-of-control spending and will make America energy independent again!
https://t.co/EfxqDWYlHM"
78,2022-06-10 13:05:08+00:00,1535246689484914692,"Democrats won't enforce the law to protect SC justices.

Democrats won't enforce the law at the border.

Democrats won't enforce the law in inner cities.

President Trump said 'no one will be safe' under Joe Biden — he was right."
79,2022-06-10 00:08:09+00:00,1535051155243298816,Where is Ray Epps?
80,2022-06-10 00:07:38+00:00,1535051023286702080,"Nancy Pelosi handpicked the January 6th committee. 

Remember this during tonight's show trial."
81,2022-06-09 17:51:29+00:00,1534956362526076930,Don't be fooled... tonight's sham January 6 Committee hearing has one single purpose: distract from Joe Biden's total and unmitigated failure. https://t.co/2ipuv1p9NK
82,2022-06-09 17:30:12+00:00,1534951007293145088,"We're winning this race because the PEOPLE are with us!

Join the Women for Greitens Coalition --&gt; https://t.co/7vwCzjHGo6 https://t.co/l24q00b5RW"
83,2022-06-09 13:32:16+00:00,1534891129241477122,"🚨 MAJOR: Over 215 patriotic women across Missouri representing over 61 counties have joined the Women for Greitens Coalition!

According to @fox4kc, I am the #1 choice for #MOSEN among conservative women!

Honored to have your support!

Join today! —&gt; https://t.co/7vwCzjHGo6 https://t.co/kEoX2GecdG"
84,2022-06-09 02:59:48+00:00,1534731963000668162,"Finally… an explanation for the @KCStar’s complete nonsense… they’re drunk!
https://t.co/KElnou9PpI"
85,2022-06-09 02:45:50+00:00,1534728449432100864,"Security Clearances Should Be Revoked for Those Who Called the Hunter Biden Laptop “Russian Disinformation”

Read my latest op-ed about Hunter Biden’s Laptop from Hell:
https://t.co/Idyy7GtTjs"
86,2022-06-09 01:27:03+00:00,1534708622839713792,RT @fox4kc: Poll: Women GOP voters support Greitens over other senate candidates https://t.co/PP5iEoSSB0
87,2022-06-09 01:17:21+00:00,1534706181972938752,"Joe Biden has begged Saudi Arabia, Iran, and Venezuela for oil. 

At the same time, 11,000 Keystone XL pipeline workers are begging to get back on the job."
88,2022-06-08 20:37:58+00:00,1534635872028610560,"🚨 A recent poll from FOX 2 shows MAGA Navy SEAL with a 6+ point lead in the Missouri GOP Senate race.
#MOSEN https://t.co/j2pGCKQV6G"
89,2022-06-08 17:30:00+00:00,1534588566625406976,"The No MO RINOs statewide tour is off to a roaring start!

In 2022, we are taking our country back! https://t.co/nJ1ry2pfqU"
90,2022-06-08 15:59:07+00:00,1534565696142774278,RT @JackPosobiec: BREAKING: Bannon subpoenas Pelosi and House January 6 committee members https://t.co/x8PBlaGBpY
91,2022-06-08 13:30:46+00:00,1534528361502248960,RT @thehill: NEW POLL: Greitens leads Missouri GOP Senate primary field https://t.co/OPTcE0OBgC https://t.co/5M5TQKaGhX
92,2022-06-08 12:53:26+00:00,1534518967968079881,"President Trump sent 5,200 troops to the southern border to stop a migrant caravan.

A 15,000-strong migrant caravan is heading to the border and Joe Biden is rolling out the welcome mat."
93,2022-06-08 01:35:02+00:00,1534348243949301763,"From the very beginning, I’ve been raising serious questions about 06 January. 

What did Nancy Pelosi know and when did she know it?
https://t.co/P3LUZLtUdo"
94,2022-06-08 01:29:36+00:00,1534346874219646976,A must read. https://t.co/oszfA8dn89
95,2022-06-07 23:38:57+00:00,1534319029921501185,"When Joe Biden took office, gas was $2.39.

When Russia invaded Ukraine, gas was $4.33.

Today, the average gas price is $4.91

The Biden Administration doesn't want you to know this."
96,2022-06-07 01:32:53+00:00,1533985312086564865,RT @CortesSteve: Navarro is a brilliant economist and a patriot — he’s being abused by partisan weaponization of the DOJ.
97,2022-06-06 21:44:36+00:00,1533927864978051077,"Alright, now back to bed, Joe… https://t.co/AT99iKYBCO"
98,2022-06-06 19:07:45+00:00,1533888393213579265,RT @TeamGreitens: Weak Missouri RINOs Come Out of Hiding to Disrespect President Trump and the MAGA Movement ⤵️ https://t.co/rd0W5ZOPWX
99,2022-06-03 19:29:53+00:00,1532806797408493574,"Average Missouri Gas Price

Last week --&gt; $4.17
Yesterday --&gt; $4.30
Today --&gt; $4.35

An 18-cent jump thanks to Joe Biden."
