,Created at,User ID,Text
0,2022-06-28 01:50:00+00:00,1541599765057642497,"RT @SheriffEd_HCSO: 4/5 I am grateful to President Biden for the honor of nominating me, and I wish this administration well as it strives…"
1,2022-06-26 10:28:09+00:00,1541005387683569665,"People across the country are
looking to relocate for careers now more than ever. Dallas stands out as a top city of prospects: https://t.co/YDkZoRhLOA"
2,2022-06-24 16:23:45+00:00,1540370103371534338,The Supreme Court hates women! https://t.co/56gLTGzw03
3,2022-06-23 17:10:01+00:00,1540019357417349121,"RT @dallasdemocrats: There's room for everyone w/ @dallasdemocrats. If you’re unheard, unrepresented by the extreme Republican agenda of de…"
4,2022-06-22 16:21:19+00:00,1539644711853592579,Seeing new buildings added to the Dallas skyline gives me a special kind of thrill! More employment opportunities is a big bonus! @dallasnews https://t.co/TnQLPTz4m5
5,2022-06-16 01:21:37+00:00,1537243968693764096,I can’t even lie I miss the economic gains of 2019-2021: https://t.co/rnWWtptg2d
6,2022-05-28 20:12:17+00:00,1530643140792750081,We can’t abandon science for emotions when convenient. We have to be all in on science and the data it provides if we want to progress passed our most pressing societal problems.
7,2022-05-25 07:42:03+00:00,1529367174497849346,"Congratulations to @JasmineForUS @VentonJonesTX and @mjbraceyhuff  for winning their runoff elections! They are the type of leadership we need to continue building progress for years to come. Exciting times! 
#buildingonprogress 💙🏗🇺🇸"
8,2022-04-28 15:57:04+00:00,1519707276403220480,Business and government can work together to improve our communities. This is how I’m going about it: https://t.co/J9inNrBI7K
9,2022-04-27 17:11:02+00:00,1519363502779084800,There can be no progress without understanding.
10,2022-04-25 21:42:05+00:00,1518706940154580992,"Elon Musk may be the future dictator of Mars, but he is not an elected official. Please stop with the “free speech” propaganda. As much as I admire his business achievements, his hostile takeover of Twitter has nothing to do with free speech and everything to do with POWER. https://t.co/FZ8ZYZEKwi"
11,2022-04-08 20:55:52+00:00,1512534716825624577,"President Biden has assisted a lot of firsts: President Barack Obama, Vice President Kamala Harris and now Supreme Court Justice Ketanji Brown Jackson. Let that sink in. 🇺🇸"
12,2022-04-07 05:56:34+00:00,1511946011396218880,"Son, one day you might read this and I want you to know that there are people who look nothing like you and will love you and people who look like you that will attempt to drag you down. Just always be your authentic self. “Free your mind and the rest will follow.” -En Vogue"
13,2022-04-03 01:07:18+00:00,1510423665581645828,"“You may write me down in history
With your bitter, twisted lies,
You may trod me in the very dirt
But still, like dust, I'll rise.” 
-Maya Angelou 👑🙏🏽 
#confirmKBJ"
14,2022-03-28 22:42:31+00:00,1508575290238377989,"…to be clear, assault isn’t okay. Can’t be tolerated. Man, woman, black, white or brown. However, while I don’t condone #WillSmithAssault of #ChrisRock I can relate to being triggered by seeing a #BlackWoman I love needlessly hurt. Hope this years #Oscars is a teachable moment."
15,2022-03-28 22:42:06+00:00,1508575184420319250,"…boys, especially black boys, grow up with a difficult dichotomy. We are expected to be respectable,  presentable and likable to a dominate culture but strong, stoic and #ProtectBlackWomen When we get out that box, we get ridicule from society and our own community…"
16,2022-03-27 04:44:54+00:00,1507941710327955458,"RT @PalmerReport: So now Putin's story is that he was never really trying to take over Ukraine, and all that invading was just a distractio…"
17,2022-03-21 23:42:30+00:00,1506053670013648902,"RT @PhysInHistory: ""One, remember to look up at the stars and not down at your feet. Two, never give up work. Work gives you meaning and pu…"
18,2022-03-18 18:32:23+00:00,1504888462218088455,To those who had any doubt about the future of #Crypto in the US and how it effects #finance check this out: #cryptocurrency https://t.co/18x8EC6BNr
19,2022-03-17 15:56:25+00:00,1504486825636761605,"@EveryoneSaysHi1 @elonmusk @boringcompany Charlatan seems kinda harsh for a guy who founded Paypal, Tesla, Solar City and SpaceX. Not every business venture/partnership is successful. Just have to mitigate risk as much as possible. All transportation infrastructure in the US started from companies similar to Boring."
20,2022-03-17 01:05:43+00:00,1504262672891752450,"@elonmusk cool. Can you have @boringcompany to give a more practical, and committed, timetable than the (scrapped?  https://t.co/bBhyaWBekP )#Dodgers Stadium project by considering what held it back though? If we are going to do it then let’s do it and be done. #Transportation https://t.co/KUHAQn1vol"
21,2022-03-04 17:57:24+00:00,1499806228515540993,"“They got money for wars, but can't feed the poor.” -Tupac Shakur #wealth #MONEY #makeitmakesense #HowWillWePayForThat #UBI #USA"
22,2022-03-04 17:43:16+00:00,1499802670462296064,"Americans generate lots of tax revenue. Taxes on what we buy, our property, vehicles, food, health &amp; “justice.” We give BILLIONS in foreign aid, but have poor, homeless, isolated, hungry, sick &amp; disenfranchised people here told there’s no money to help them. Why? #Wealth #UBI"
23,2022-03-03 18:22:24+00:00,1499450130260447235,RT @joncoopertweets: Ban Russian oil.
24,2022-03-01 12:51:00+00:00,1498641956502704133,"The @dallasdemocrats has a variety of candidates on the ballot this primary. From voting rights, to economics, to healthcare and justice under the law, we have you covered. Democracy’s future in Texas is in your hands. Just vote for it!🗳💙 #VoteBlueToSaveDemocracy #Elections2022"
25,2022-02-25 18:19:43+00:00,1497275130355109894,"False accusations of a “rigged election” in 2020. Texas GOP attacking voting rights in 2021. And now weather closing polling locations in 2022. If only there was a secure, transparent, verifiable method we could ALL vote…🤔 #blockchain #NFTCommmunity https://t.co/kElOs7ZrRj"
26,2022-02-25 17:42:31+00:00,1497265766336536577,@pit5000 Absolutely! Not implying the media created any of these situations. But how they pick and choose what to cover is extremely manipulative. I can think of at least 10 problems that have existed for years and effect our everyday lives that never get this level of attention.
27,2022-02-25 17:22:17+00:00,1497260674795425792,"@spencerofgrove Sure! 2020, Covid hit the US and was used as a tool to change presidents and set the public discourse. 2022, we have midterm elections, Covid is still a threat but the public has become apathetic to media coverage. Now we have Ukraine to keep US engaged in media."
28,2022-02-25 17:14:27+00:00,1497258703577300998,"If one system creates inequities like; homelessness, hunger, scarcity &amp; crime while another allows individuals to lift themselves out of those inequities, why is the system providing opportunities always demonized? Answer: Control #blockchain #cryptocurrency #NFTCommunity #UBI"
29,2022-02-25 17:01:51+00:00,1497255535304921088,Sooooo…is it me or is the Ukraine invasion the new COVID? How did we get to a point where we need a crisis in order to function as a society? 🤷🏽‍♂️ #massmanipulation
30,2022-02-25 16:54:35+00:00,1497253705422454787,"In only a month I’ve watched my son, who isn’t even two yet, go from using his iPad as a chew-toy to being able to scroll through apps with his hands, feet AND nose! Adaptive evolution is real! 🤣"
31,2022-02-25 15:43:21+00:00,1497235777113276419,"So here’s an example of people giving their own money to help Ukraine. Not just “thoughts and prayers,” but something that can have an effect. Those against crypto see decentralized currency as only a vehicle for crimes though. #Bitcoin #cryptocurrency https://t.co/BRHsvvxDn3"
32,2022-02-24 20:17:44+00:00,1496942443031314437,"Digging deep this year. Why? Because for good or for bad, it’s part of our future and I don’t want us to miss out due to my own ignorance. #blockchain #SmartContracts #Ethereum #NFT #NFTs #cryptotrading #technology #UBI #cryptocurrency #BuildingOnProgress https://t.co/PsV2qWOBcl"
33,2022-02-24 20:05:09+00:00,1496939276038254598,@rapidcleanings1 @chawkable @DonaldJTrumpJr https://t.co/63LZuCtwyd
34,2022-02-24 19:59:55+00:00,1496937958942953472,@chawkable @MatPatGT @elonmusk https://t.co/il3RLdUlZu
35,2022-02-24 19:54:31+00:00,1496936599975776260,Can a system built on corruption be an instrument to end corruption? #MONEY
36,2022-02-24 19:48:39+00:00,1496935122230464513,"Watched some content by @MatPatGT recently on how much @elonmusk and Bruce Wayne have in common. With the SEC investigating him and his brother for insider trading, it makes me wonder… https://t.co/uqvOkmZsp2"
37,2022-02-24 03:23:08+00:00,1496687107338870787,Build our families. Build our communities. Build our businesses. Build our futures! #BuildingOnProgress
38,2022-02-24 03:16:07+00:00,1496685342824574977,Phenomenal! #reelect @RhettaForHD113 https://t.co/ugh8SYHHmS
39,2022-02-24 01:24:44+00:00,1496657314417369089,"I just had the honor of hearing Rep. Bowers share the history behind her Crown Act with @EastDallasDems. I am IMMENSELY appreciative to her for this legislative effort. The discrimination is REAL! It’s in our schools, work places and even our government. Thank you Rep. Bowers! https://t.co/8jZr5jxyga"
40,2022-02-23 19:53:30+00:00,1496573953208373249,"@LSPmatt What’s known by anyone paying attn is you, @MarcVeasey and JWP have been planning to run @JaneHopeTX for years. Her exploratory launch was very disrespectful to @RepEBJ legacy and had her walking around a part of Dallas she has never helped. Thousands raised to control the 30th!"
41,2022-02-23 19:44:52+00:00,1496571782261792768,"Can we talk about respecting women’s choices? In 2020 I ran for the 30th to highlight what will bring progress to a city I love. In 2022 @RepEBJ CHOSE @JasmineForUS as the BEST candidate to keep the 30th a black female-led district. I respect, admire and SUPPORT her decision! 🇺🇸"
42,2022-02-23 19:17:07+00:00,1496564799802683393,@LSPmatt @lsptex @JasmineForUS Funny how no one talked about crypto in the 30th until independent people made an in-kind donation. Even though crypto/blockchain is a very real part of the future of finance. Will you give that same energy to the THOUSANDS raised by @JaneHopeTX to FORCE @RepEBJ out her seat?👀
43,2022-02-21 18:16:53+00:00,1495824864623665153,"If it’s not bringing you peace, prosperity or furthering your pursuit of happiness, let it go. #BuildingOnProgress"
44,2022-02-17 00:14:24+00:00,1494102896312561666,Current and aspiring entrepreneurs check this out. https://t.co/ZKP34kSPHM
45,2022-02-16 16:06:25+00:00,1493980092384657409,Nothing makes me consider the evolutionary progress of humanity like monitoring the development of my son born during the pandemic. Not even 2 and he’s interacting with tech in ways my generation wouldn’t even have imagined! We must make sure tech is used for the benefit of all!
46,2022-02-16 15:31:11+00:00,1493971227093913603,"As a @dallasdemocrats Precinct Chair, I’m encouraged by the agenda to expand engagement with voters by our Chair. So, I am doing my part to make sure my precinct has opportunities to have their voices heard! #knowbettervotebetter #buildingonprogress"
47,2022-02-16 15:19:58+00:00,1493968403115216902,I stay rooted in the every day challenges of communities in north Texas while keeping my eye on trends/tech that could be practical applications of progress for everyone. Here’s something to think about! 🤔 #NFTs #smartcontract #buildingonprogress https://t.co/YpHx8BaDeU
48,2022-02-16 15:12:22+00:00,1493966491477319685,RT @DallasMayor: Dallas City Council To Vote On Mental Health Leave For Firefighters Following 2 Suicides https://t.co/DsSI8nebGw
49,2022-02-15 02:25:50+00:00,1493411199710638082,RT @KenKalthoffNBC5: Dallas to discuss possible infrastructure projects Tuesday. The list we link to in this article does not include the r…
50,2022-02-14 20:26:30+00:00,1493320770239488004,There will always be room for innovation in the #cleanenergy industry. This was an awesome panel! https://t.co/Uamp1WLyvW
51,2022-02-14 14:47:57+00:00,1493235571933732873,"I’ve had a lifetime of upholding Democratic values. There’s still more work to be done! #BuildingOnProgress 

https://t.co/IulTvS9ACr https://t.co/ibFwcCXu9N"
52,2022-02-13 18:17:04+00:00,1492925809987833860,We are more than our accumulative data. So much more!
53,2022-02-13 18:15:28+00:00,1492925406894305280,The Engineers of it all are starting to see these newer generations are seeing beyond their Great Fantasy: If someone follows their rules and do what they are supposed to they will be okay. Manipulation! Opportunities for progress only come through disruption.
54,2022-02-13 18:04:19+00:00,1492922598405120004,Our economy is becoming a lot of little scams inside one systemic scam. Why is no one concerned about it?
55,2022-02-13 17:59:42+00:00,1492921438801739777,@joncoopertweets He’s speaking
56,2022-02-12 17:04:47+00:00,1492545227923632132,@USPSHelp is there a list that a customer can sign up for so that they don’t receive unwanted financial service offers in the mail?
