,Created at,User ID,Text
0,2022-06-27 19:15:18+00:00,1541500438209503233,"RT @plesafortexas: On July 24th, just 4 days before my 39th birthday, all abortion will be completely criminalized in TX w/penalties up to…"
1,2022-06-27 15:48:08+00:00,1541448301349855233,"Welcome to the United States, where our settlers left England in order to have a government based on the separation of church and state.

Just this week alone, #SCOTUS is turning our country into a theocracy."
2,2022-06-27 13:08:37+00:00,1541408158781947904,"Can we stop using the term “pro-life”? Here are some alternatives we should be using:

-Pro-birth
-Anti-Women
-My body my choice (only when it comes to masks)"
3,2022-06-27 00:51:39+00:00,1541222695190274050,@DanielGHajjar Wohoo!
4,2022-06-26 17:47:20+00:00,1541115909493882881,"During the whole Roe v Wade debate, have y’all noticed that the pro-lifers never acknowledge that a woman is a life worth protecting?

I don’t understand women who still vote for that garbage party. The same party that wants you to die if you have a deadly pregnancy."
5,2022-06-26 17:42:27+00:00,1541114684123893760,"So? Um? Wait, what? https://t.co/BcEYrYm6GV"
6,2022-06-26 16:28:40+00:00,1541096113716985862,"The truth is: we have a rogue court. 

What are the ACTIONABLE plans, Dems? Women must be kept safe across the country. 

We don’t have time to “study” the effects. We know what will happen."
7,2022-06-25 00:52:09+00:00,1540498044273283074,@alfranken And they should be impeached for lying under oath. Oh. And disbarred.
8,2022-06-24 22:22:03+00:00,1540460270656577537,"RT @nowthisnews: In light of the Supreme Court overturning Roe v. Wade, this clip of legendary stand-up comic George Carlin slamming conser…"
9,2022-06-24 21:47:11+00:00,1540451494830522369,RT @elizaorlins: PSA: @mcuban’s new online pharmacy is selling birth control and other life-saving meds at extreme discounts. Stock up now.…
10,2022-06-24 21:43:15+00:00,1540450505763299332,"Since we are no longer the “leader of the free world”, which country is going to check on us to make sure we’re ok?"
11,2022-06-24 20:22:46+00:00,1540430253394386947,RT @DannieD01: Two known sex offenders overturned Roe vs. Wade. Let that sink in.
12,2022-06-24 20:22:31+00:00,1540430187640258564,@QasimRashid Just sitting here in Texas where I have less rights than an inanimate object
