,Created at,User ID,Text
0,2022-06-28 19:16:14+00:00,1541863058888224773,"@srecobo @Fulkery1 I was just going to say something like 'his conversations on equality for all, housing, shared house-keeping &amp; parenting duties, educational interests were?' then I realized he's 13... 😉"
1,2022-06-28 19:12:55+00:00,1541862223001161728,"RT @elevateapp: Test your brain with Elevate. 📝

Play 40+ games designed to improve your communication, memory, and math skills. 🧠"
2,2022-06-28 19:11:11+00:00,1541861790706896896,This is why it's Superior https://t.co/eiAIb9G2cQ
3,2022-06-28 19:02:47+00:00,1541859676492423168,"RT @DominionEdits: Last offers remaining:

Up to 80k-word edit - $449 (x1)
Up to 100k-word edit - $499 (x1)
Up to 120k-word edit - $549 (x1…"
4,2022-06-28 17:46:00+00:00,1541840351299678209,"@iamharaldur @ms_tiahmarie The paving stones on Laugavegi, for example, was a horror for her &amp; hurt her back considerably.
So all improvements are welcomed!"
5,2022-06-28 17:43:28+00:00,1541839715141201920,"@iamharaldur @ms_tiahmarie When my handicapped mother was alive there were very few places she could visit due to lack of govt funding &amp; structures in the Old part of the city.
The improvements are spectacular!
Thank you"
6,2022-06-28 17:36:38+00:00,1541837992670613504,"@DNetxy @jessicaOfBKLYN I honestly don't think he realizes what he's saying or doing, or how racist he's appearing. In fairness, he's sounds as if he's trying to overcome his racism...I mean, he's wanting to reach out, which is a good thing...to learn and assimilate."
7,2022-06-28 17:15:10+00:00,1541832591103254529,"@sloth_bucket Everything has it's failures, but contrary to popular propaganda, the US healthcare system leads the world in innovation, advancement, and outcomes.

This has never been more obvious than during this pandemic.
Hopefully, the TV series will improve in your opinion as it goes on"
8,2022-06-28 17:04:15+00:00,1541829842970087424,"@debbiecasey3 @Gatorvet Condoms - cheap
Unwanted Parenthood - EXTREMELY expensive"
9,2022-06-28 17:03:04+00:00,1541829548546719745,"RT @elevateapp: Train your brain to autocorrect. 📝

Play 40+ games designed to improve your communication, memory, and math skills. 🧠"
10,2022-06-28 17:01:28+00:00,1541829143616057344,"@DebsValidation I love predictive text and autocorrect normally. But more than once, I've proofread a post only to find key words completely changed. I never chose them, the system did.
E.g. just now, I typed 'sys', 'system' popped up, I chose it, it typed 'dystopia'"
11,2022-06-28 16:53:58+00:00,1541827258284855296,"@CBethAnderson Of course she did, and congratulations 🎉"
12,2022-06-28 16:53:35+00:00,1541827161740365825,"@JeepersMedia Wow, you look like Mandy Patinkin in either picture"
13,2022-06-28 16:52:41+00:00,1541826934417412096,"RT @elevateapp: 𝐓𝐫𝐚𝐢𝐧 𝐲𝐨𝐮𝐫 𝐛𝐫𝐚𝐢𝐧 𝐭𝐨 𝐚𝐮𝐭𝐨𝐜𝐨𝐫𝐫𝐞𝐜𝐭. 📝

Play 40+ games designed to improve your communication, memory, and math skills. 🧠"
14,2022-06-28 16:50:21+00:00,1541826348678651904,"@amvetsupport The Evangelicals surprise me-the brand of 'Kristianity' they seem to preach is blasphemous
The K is because it's more like teachings from a random guy called 'Kris' than from Jesus
Ex- OT God &amp; Jesus separated church &amp; state &amp; Jesus taught tolerance of all peoples.
Unrecognizable"
15,2022-06-28 16:44:27+00:00,1541824864146690048,"@JaeMargal Necrophilia is illegal.

By the way, thanks for proving I was right to dump you."
16,2022-06-28 16:40:51+00:00,1541823954200907776,RT @glee_writes: This is just about perfect @LostBoysPress https://t.co/jHa2UJ6OD6
17,2022-06-28 05:07:23+00:00,1541649439193894912,"Consider this: Zika virus took a macrocephaly &amp; made it microcephaly in 1 generation.
What if a reverse-Zika virus made us Homosapiens, (micro to macro), also in 1 generation.
There'd never be a 'missing link'

https://t.co/cgAcawQhqo"
18,2022-06-28 04:11:11+00:00,1541635298198573056,"I just wanted to thank all those who bought my book 💕

https://t.co/Io8KymJbIu"
19,2022-06-28 04:09:26+00:00,1541634856358014976,"@LostBoysPress This is not a test!
I repeat, this is not a test!

It appears that God himself has started the Apocalypse."
20,2022-06-28 04:04:35+00:00,1541633636633432065,"RT @elevateapp: Train your brain to autocorrect. 📝

Play 40+ games designed to improve your communication, memory, and math skills. 🧠"
21,2022-06-28 03:57:51+00:00,1541631940947607553,"@Ashy_slashee Say hello to my little friend

Phone home

They're here"
22,2022-06-27 04:03:59+00:00,1541271094572724224,"@kevinwitvliet00 The issue should be whether the mother wants the fetus.
Without that, the chances that it becomes an equally unwanted and unloved born child grows exponentially

That is a horrible outcome for both mother and child"
23,2022-06-27 04:00:28+00:00,1541270211491274753,@M0mmy0nZeego Why isn't good food after good sex an option?
24,2022-06-27 04:00:03+00:00,1541270105618665472,"@kejames @ShonaKeir Bacterial cells do the same thing

This doesn't mean that a wanted fetus, one that is loved by it's mother, is useless.
It means that all reasonable measures should be done to make sure that a fetus, when an actual born baby, and it's mother is loved &amp; supported"
25,2022-06-27 03:55:53+00:00,1541269059991285761,"@Homegrowngirl2 Tell them the OT god not only supports abortion, but required the sacrifice of the first born male until it was re-negotiated to circumcision.

No self-respecting god places the worth of a fetus over the mother creating it"
26,2022-06-27 03:52:44+00:00,1541268263585271808,"@drkellyscriven This is solely to advance purist Federalism, which the founding fathers didn't want, by the way.
That's why first three Articles create the Fed

The GOP gets to play, 'See we're right,"" when states codify Roe, &amp; placate states that don't.

Politically it's a powder keg win-win"
