,Created at,User ID,Text
0,2021-01-15 14:56:30+00:00,1350094512815829000,"Here’s the 🔑 to motivating Congress, ensuring they work for us, and keeping lobbying dollars out...

#TermLimits"
1,2021-01-08 21:54:22+00:00,1347662960550948865,Here’s some great news for 2021...@RachelAnneLevy is running for Delegate #HD55
2,2021-01-08 21:49:32+00:00,1347661741346447362,"RT @MattForDelegate: Interesting how we zoom past accountability for some straight to ""healing"". 

I wonder what the cause of such preferen…"
3,2021-01-07 13:30:41+00:00,1347173816213118982,If you can’t be trusted on Twitter HOW are you being trusted with Nuclear codes?!
4,2021-01-06 20:14:29+00:00,1346913046493597696,The police couldn’t be in the crowd and protecting the US Capital.....thus a lack of police presence
5,2021-01-06 19:34:06+00:00,1346902882587697155,"They are invading the US Capital and no signs of the National Guard, Militarized Police, or Tear Gas!"
6,2021-01-06 19:26:20+00:00,1346900930004922368,"How is it acceptable for @POTUS supporters to scale the Capital in “protest”?

There’s no mistaking Protesting and Anarchy!
@#CERTIFY #unacceptable"
7,2021-01-06 18:35:55+00:00,1346888241971081217,Did @senatemajldr just find his soul and activate his integrity?!
8,2021-01-06 17:39:47+00:00,1346874116486426626,"RT @KevCoke6: If a Morehouse man becomes a U.S. Senator, while a Howard alumna is the Vice-President, and both were aided by a Spelman woma…"
9,2021-01-06 17:07:43+00:00,1346866045479505921,"RT @staceyabrams: So many hands built this victory, but I must single out the indefatigable, ingenious team at @fairfightaction, led by the…"
10,2021-01-06 02:09:01+00:00,1346639881800450049,@QuintonLaw Lead the way! Congratulations
11,2021-01-06 01:51:39+00:00,1346635511876739073,Congratulations and we are honored to have you https://t.co/v0wFFasX04
12,2021-01-05 17:07:07+00:00,1346503507021615110,RT @JCarrollFoy: Spending time at the polls for @CandiKingForHD2. Love seeing everyone out here — democracy in action here in Virginia! 🗳…
13,2021-01-05 16:52:14+00:00,1346499762867068929,"As an IT Professional we use IF/THEN Statements. For example:

IF: The Presidential ballots were fraudulent 

THEN: The Senate ballots were fraudulent 

Can’t have it both ways 😒"
14,2021-01-03 22:04:22+00:00,1345853537301966848,"Integrity is doing what’s right when no one is around, when no one is watching, when no one hears you.

If you witnessed this in private and didn’t speak out... you lack integrity https://t.co/GlLunlr4wX"
15,2020-09-30 02:21:49+00:00,1311129089407946752,"@jonesjay But took no hesitation in condemning the ""left"" SMDH"
16,2020-09-30 02:17:05+00:00,1311127899836162049,"There is a difference between legal and ethical. @realDonaldTrump taking advantage of tax loopholes to not pay taxes may be legal, but being the POTUS and not paying taxes surely isn't ethical."
17,2020-09-30 02:02:51+00:00,1311124317774778368,Just shoot bleach in your arm! #Debates2020
18,2020-06-16 13:11:11+00:00,1272879393430540293,@Hashmi4Va thank you for leading the charge to change SRO in Virginia! More positive change on the horizon 👏👍
19,2020-06-14 17:52:21+00:00,1272225375612002310,RT @JoshuaCole: Coming July 1st AUTO Voter Reg! 🙌🏾 https://t.co/ki15FftQDu
20,2020-06-10 22:10:57+00:00,1270840905860288512,"I'm super excited, I had the pleasure of voting today for @QasimRashid . If you haven't made a decision for the upcoming primary, meet Qasim Rashid tonight at 7pm for a virtual coffee 

https://t.co/X3Vze81WbG"
21,2020-05-28 03:08:41+00:00,1265842401245085698,@JCarrollFoy Trail blazer! Absolutely incredible
22,2020-05-28 03:05:54+00:00,1265841701186396160,"RT @JCarrollFoy: When it comes to what's best for working families, we don’t have to accept “no” for an answer — we can have affordable hea…"
23,2020-05-28 03:03:09+00:00,1265841010636177411,@JCarrollFoy  has truly made a mark on the Commonwealth. I am proud of the work she has done. Today's announcement is remarkable and I am excited for what's to come!
