,Created at,User ID,Text
0,2022-06-26 23:43:11+00:00,1541205464116957186,"Happy #Pride! This week is a reminder that the fight for progress is never over. No matter who you love or how you identify, everyone deserves the same rights &amp; protections. I was proud to help pass the Equality Act in Congress &amp; I will continue fight for the LGBTQ+ community 🏳️‍🌈 https://t.co/x8a5ZP2urw"
1,2022-06-26 05:28:51+00:00,1540930065210306560,"That’s a wrap on the 2022 @washdems Convention! Our team is fired up and ready to knock on doors, make phone calls, and put in the work to win #WA08 in November. https://t.co/XM9BwMAttw"
2,2022-06-24 21:30:17+00:00,1540447244360507392,"As a doctor, my oath is to protect patients. And as your congresswoman, my oath is to protect your rights. 

With SCOTUS overturning #RoevWade, Congress must protect a woman's right to choose. Watch my new ad now to hear why I'll always defend reproductive rights &gt;&gt; https://t.co/Q1grTJdPJH"
3,2022-06-24 15:23:37+00:00,1540354969454252034,"I am outraged by the Supreme Court's decision today to overturn Roe. This decision should be between a woman and her doctor, not the government. As the only pro-choice woman doctor in Congress, I will never stop fighting to protect a woman's right to choose."
4,2022-06-19 20:00:36+00:00,1538612734866112512,"I want to wish all dads and father figures – including my wonderful husband, David – a very happy Father's Day! https://t.co/TQwveLd19m"
5,2022-06-19 15:00:21+00:00,1538537171900149761,"This #Juneteenth, we commemorate the ending of slavery in the United States while recommitting to the fight for equality and justice for all Americans."
6,2022-06-18 19:00:23+00:00,1538235193634570243,"I'm honored to be endorsed by @ActiveRetirees! As your congresswoman, I'm fighting to protect the programs that retired Washingtonians rely on and ensure your earned benefits, like Social Security and Medicare, are there when you need them. https://t.co/dsXeFgaz46"
7,2022-06-17 17:30:20+00:00,1537850141562003459,"I'm excited to share that my bipartisan Ocean Shipping Reform Act was signed into law yesterday! This bill will help ensure #WA08 goods make it to their overseas markets.

https://t.co/hPAAQ8BoZ6"
8,2022-06-12 05:13:57+00:00,1535852886696923137,"Today I joined the #MarchForOurLives in Washington, DC. It is long past time we pass commonsense gun safety measures into law to end gun violence. https://t.co/o5AhUYo0ZM"
9,2022-06-07 20:00:55+00:00,1534264160950833159,"I'm proud to be endorsed by @brady_pac, @WaGunResponsib and be named a Gun Sense Candidate by @MomsDemand.

As a mom, a pediatrician, and a congresswoman, I'm committed to addressing our gun violence crisis and in Congress, I'll fight for common-sense gun safety legislation. https://t.co/EgZqBKHWPB"
