,Created at,User ID,Text
0,2022-06-20 03:22:39+00:00,1538723979132903426,Father’s Day brings back memories of my father who instilled in me the value of hard work and keeping my promises https://t.co/LUnVWLGHeV Happy Fathers Day!!
1,2022-05-31 03:09:11+00:00,1531472835033673728,@RonPaul The Ruble keeps appreciating against the dollar
2,2022-05-30 19:31:48+00:00,1531357728261779458,HAPPY MEMORIAL DAY!!  Drive safe https://t.co/IySCuos4YB
3,2022-05-23 17:05:50+00:00,1528784279924269056,With crimes continuing to rise in as a result of Liberal Democrat elected officials Houston Gun ownership is increasing in the city A reminder May 24 is the last day to vote in run off Please go vote to ensure we elect Republicans in the fall https://t.co/MjhSdqT8iY
4,2022-05-08 16:30:03+00:00,1523339457134534657,Wish I can wish her Mother’s Day one more time https://t.co/pqrykieDH1
5,2022-05-08 15:33:02+00:00,1523325109901090816,Happy Mother’s Day!!
6,2022-05-02 02:09:00+00:00,1520948440871710721,Best wishes on Eid
7,2022-05-02 02:05:59+00:00,1520947678900805632,Financial war on our fossil fuel industry by groups like Sierra Club and others endangers our Energy Security https://t.co/pyLtX2i3AV
8,2022-04-24 16:27:00+00:00,1518265257914949639,We need to refund our police and elect conservative judges to reduce the crime in Harris and Fort Bend Counties https://t.co/SuNp3FTtcb
9,2022-04-23 04:04:11+00:00,1517715935653773312,Best wishes on Passover
10,2022-04-22 02:14:45+00:00,1517326008701145091,The green folks celebrating Earth day today and our folks in Financial institution need to rethink ESG the biggest sham barometer of our time
11,2022-04-19 04:08:41+00:00,1516267514514362378,Increasing Ethanol in Gasoline will also increase food prices by diverting agriculture resources to Ethanol production Why Biden's plan for cheaper gasoline means more smog https://t.co/jgNtvBcRar
12,2022-04-17 23:48:21+00:00,1515839615319613443,How times change..More than a decade ago at a conference in Bangkok attended by Oil Majors as well as OPEC producers My comments in this video ‘US will become the center of Global Oil and Gas activity’ were greeted by laughs from the audience https://t.co/eVcPGIwRIV
13,2022-04-16 18:39:09+00:00,1515399411228106758,Happy Easter Weekend…
14,2022-04-10 21:08:30+00:00,1513262672229376008,@FoxNews Great endorsement to help keep Senate red
15,2022-04-06 23:24:44+00:00,1511847403632173062,@TIME It’s supply and demand stupid When you strangle production/supply by declaring a war on fossil fuel industry both politically and financially why is everyone surprised when prices go up By releasing reserves you are further killing investment in oil by artificially lowering price
16,2022-04-06 13:41:05+00:00,1511700521542995973,https://t.co/eJRWRrTTfP
17,2022-04-03 03:53:55+00:00,1510465595887833088,Best wishes on Ramadan
18,2022-03-29 21:48:08+00:00,1508923991079149570,@mikepompeo @AFPMonline So great to have the personal touch back in our oil and gas industry as conferences have resumed after 2-3 years Last AFPM was in 2019 https://t.co/YQ1pcxWdjj
19,2022-03-14 16:19:25+00:00,1503405447595835392,In a company when someone presents a bad business plan we turn it down Likewise when naive Democrats present a plan to replace our fossil fuels by green energy that still needs needs fossil fuels to power up voters need to vote these naive politicians out
20,2022-03-13 23:48:15+00:00,1503156011565301761,First AFPM after COVID less parties by Oil Majors Still lively with Oil above 100 https://t.co/vKAHQHrO3P
21,2022-03-13 20:35:16+00:00,1503107447631851523,@YALiberty @JenGranholm People like her in the current administration who have declared a war on our fossil fuel industry are a joke With $6/gal for average Americans at the pump folks like her still do not get it
22,2022-03-03 19:32:06+00:00,1499467671506759682,"I thank everyone who voted for me, volunteered for me and supported me. Good luck to the final nominee of our Party and I look forward to supporting him against Lizzie Fletcher"
23,2022-02-26 22:57:11+00:00,1497707343928246272,@Reuters Putin should know the downside of occupying a country from his predecessors of Former Soviet Union in Afghanistan Easy to conquer difficult to sustain led to the break up of Former Soviet Republic
24,2022-02-24 14:32:40+00:00,1496855600680120325,#RedWave #Republican #Election2022 #energy With oil crossing $100 it’s time Democrats stop their war on fossil fuel industry Early voting going on in Texas Vote Republican Laique Rehman for Congress District 7
25,2022-02-22 05:43:06+00:00,1495997555204927489,Putin continues to take advantage of the weak Biden administration https://t.co/L0PQ7M3rVE
26,2022-02-21 20:16:09+00:00,1495854879025336321,#RedWave2022 #Republican #fort bend #Election2022 Be part of the  Red Wave Vote Laique Rehman for Congress in CD 7 Republican Primary The candidate that can turn CD7 red again Humbled by the fundraiser done the the dynamic Asian business community of Sugarland https://t.co/Aw0fhHTrV4
27,2022-02-15 05:53:29+00:00,1493463452752523264,#RedWave #Republican #valentines2022 #Election2022 Be part of the Red Wave and Vote Laique Rehman for Congress TX District 7 the candidate with best chance to get our District back from the socialist Democrat incumbent https://t.co/TOYhC2j1wR
28,2022-02-10 00:28:57+00:00,1491569842234793988,@RepTroyNehls #RedWave2022 Democrats have gone out of control to spread lies and misinformation
29,2022-02-09 11:59:01+00:00,1491381117605543943,20220207 laiquerehman https://t.co/VkEbNWRu7M via @YouTube
30,2022-02-03 13:30:23+00:00,1489229784383201283,Early voting starts Feb 14-25 Election Day March 1 Take your friend and family to vote and ask for Republican Ballot VOTE LAIQUE REHMAN FOR US REP DISTRICT 7 to take our District back https://t.co/zCY0vi9UyK
31,2022-01-29 22:26:38+00:00,1487552794429206532,#redwave #republican #elections2022 ITS TIME TO WIN BACK AMERICA @ George R. Brown Convention Center https://t.co/WSid90qsVv
32,2022-01-29 22:16:58+00:00,1487550363796393986,ENJOYED THE AMERICAN FREEDOM TOUR https://t.co/Yej7OXJC6s
33,2022-01-24 02:31:00+00:00,1485439963571363849,@bopinion With all the money being printed by the administration for their handout programs inflation is creeping in We need fiscal responsibility in Washington
34,2022-01-23 19:04:16+00:00,1485327540063543298,"‘This needs to stop.’: Harris County Pct. 5 deputy fatally shot during apparent traffic stop in SW Houston, authorities say https://t.co/mvrUXIWx5r"
35,2022-01-22 14:36:27+00:00,1484897755311050753,@CBSNewYork So sad RIP Salute to all our men and women in uniform who put their lives on line to keep Americans safe
36,2022-01-21 04:18:28+00:00,1484379848541806593,Biden Admin has surrendered Ukraine  https://t.co/qcdcYObP9p
37,2022-01-13 03:31:30+00:00,1481468922805301254,Happy to see my cargo discharge after being delayed by Texas weather https://t.co/dJeeWSJd8A
38,2022-01-13 01:56:00+00:00,1481444890328412160,"Enjoyed the CD 7 debate organized by Sweetgrass
Republican Club https://t.co/vBjpDa5FgL"
39,2022-01-08 05:08:04+00:00,1479681285593485315,Enjoyed the interview https://t.co/Bj6ORMNp6O
40,2022-01-07 08:30:04+00:00,1479369732063219715,Americans want better public safety and secure borders. Stop the war on our fossil fuel industry. Fiscal responsibility..stop printing money that our future generations will have to repay. AMERICA FIRST policy. Want to vote out establishment Candidate and MAKE AMERICA FREE AGAIN
41,2022-01-06 03:33:57+00:00,1478932823876722692,@HouseRepublican @HouseGOP@SenateGOP @TexasGOP Grateful for the large turnout at my first event It is time we take back our district from the deep state establishment backed current representative of Texas CD 7 and MAKE AMERICA FREE AGAIN https://t.co/NGfPdK1pD3
42,2021-12-25 01:18:47+00:00,1474550156435537923,Best Wishes to Everyone on Christmas Eve stay safe driving
43,2021-12-24 05:21:44+00:00,1474248908696137755,#houserepublicans #republican #texasgop Enjoyed the party hosted by Eric Dock @ B&amp;B Butchers &amp; Restaurant https://t.co/E63RDXDZKf
44,2021-12-22 03:59:12+00:00,1473503361450352640,@HouseGOP @RepHerrell Americans are paying more for Gas than in the past because Democrats have declared a war on fossil fuel industry not only thru regulations but also by pressure on the finance industry to reduce fossil fuel portfolio
