,Created at,User ID,Text
0,2022-06-24 15:52:27+00:00,1540362225982005250,"Please go to ActiVote at https://t.co/87Wy2VDm7d and set me as your preferred candidate in my race and share the lawn sign on your social media to help us get the atten our campaign deserves. The more people who see the lawn sign, the more votes we will get on election day!"
1,2022-06-24 15:36:33+00:00,1540358223068143616,Today's Supreme Court decision is a major setback for the freedom of Americans. Congress needs to pass legislation confirming a woman's free will.
2,2022-06-13 17:25:39+00:00,1536399413383512068,@RepFitzgerald Supreme Court Justices should not be political
3,2022-06-12 16:20:30+00:00,1536020630847557632,@rocky_talley @NDMIKE72 @GOPChairwoman What was stuffed into those bills? Show me
4,2022-06-11 18:37:53+00:00,1535692813240659969,@RepStefanik Why don't you hold one?
5,2022-06-10 15:34:44+00:00,1535284336445992961,@SenBillCassidy @WhiteHouse What is your plan Senator?
6,2022-05-25 15:35:09+00:00,1529486235710164993,@laurenboebert Isn't that your party's precise stance on abortion?
7,2022-05-25 15:05:51+00:00,1529478862890999811,@RepMTG What are these prayers accomplishing? Empty compassion from @GOP
8,2022-05-25 14:59:40+00:00,1529477304404938754,"@RepStefanik If that is true, then @GOP owns the Texas massacre."
9,2022-05-25 14:56:08+00:00,1529476415409639424,"RT @Puffymonsta: @MollyJongFast Gun manufacturers somehow have qualified immunity.  

Guess who put that legislation in the books??? https:…"
10,2022-05-25 14:55:06+00:00,1529476156319100930,@MollyJongFast Explain to me how this will help? I don't see it.
11,2022-05-25 14:52:57+00:00,1529475613576245248,"@RepStefanik Since your heart is ""shattered"" what are you going to do about it?"
12,2022-05-25 14:50:06+00:00,1529474897113587712,"This is disgusting. The strongest proponents of gun ownership aren't allowed to bring guns to the conference. That's like telling fans at the superbowl they can't wear team jerseys. What are they afraid of? There will be plenty of ""good guys with guns"" right? https://t.co/sOPSD71mlt"
13,2022-05-25 14:46:50+00:00,1529474073511620608,"@cologop If god was with them, their children would also be with them. Prayers aren't working."
14,2022-05-25 14:24:05+00:00,1529468349482037249,"RT @AOC: There is no such thing as being “pro-life” while supporting laws that let children be shot in their schools, elders in grocery sto…"
15,2022-05-25 14:23:49+00:00,1529468282993930241,@SenTedCruz How's that praying helping? Since you've been praying more kids have died... try something else.
16,2022-05-25 14:21:06+00:00,1529467599540498432,"@MaverickPTSDdog @BillyD90183821 @benshapiro That depends on the gun laws. We can make it more difficult to get a firearm, but honest people can still get them after being properly vetted."
17,2022-05-25 14:19:12+00:00,1529467121968721920,@matthewcary17 @BillyD90183821 @benshapiro Why not give them to the kids too?
18,2022-05-25 14:14:12+00:00,1529465864696631297,"What will it take to stop our children from being too scared to go to school? A lot of folks say that gun control is not the answer. Give us some alternatives ideas then, help us out here."
19,2022-05-25 14:12:13+00:00,1529465365314490368,"@Jim_Jordan Yes, eventually the fossil fuels will run out. Supply and demand make prices soar."
20,2022-05-25 14:11:08+00:00,1529465090965049344,"@RepMTG More people have died in the name of god then any other cause except maybe time. If you support mental health, support a healthcare system where people can afford the help they need."
21,2022-05-09 15:55:40+00:00,1523693190137540610,"@cologop @colo_politics @smerconish #Election2022PH 
#Payette2022 
#Independent"
22,2022-05-09 14:45:22+00:00,1523675498567507969,I'm gonna need a lot of signatures on my petition just to get on the ballot. https://t.co/vAdn17a5Dh
