,Created at,User ID,Text
0,2022-06-27 18:05:48+00:00,1541482946044887040,@McCainJack What’s the worst that can happen? https://t.co/AOaeS9vltV
1,2022-06-27 17:33:47+00:00,1541474887801245696,@howellsuzy I won’t disagree
2,2022-06-27 17:28:09+00:00,1541473473616171013,@amyjdean I don’t disagree. The alternative to her is even worse.
3,2022-06-27 17:18:10+00:00,1541470958313017344,"I’m not a fan of Liz Cheney. Mostly because of her father and because her platform represents him and that era of good ol’ boy country club politics. That being said, I respect the hell out of her for standing up to her party &amp; to Trump. Should she lose, we’re all in trouble."
4,2022-06-27 04:27:22+00:00,1541276982511411200,"Keep doing all the hard work you've been doing to move us forward. It's important &amp; it's appreciated. There's now more people who might want to join us knocking doors, making calls, writing post cards, etc...talk to your friends, your neighbors, your community. Teamwork &amp; Head up"
5,2022-06-26 22:05:52+00:00,1541180974452449280,"I’m still most blown away knowing that instead of being locked up in a holding cell until testimony under oath regarding knowledge and roll in attempting to subvert a presidential election has been provided and investigated, a Supreme Court justice was able to overturn law."
6,2022-06-26 21:22:23+00:00,1541170029319712768,@RexChapman I want this to be the newest tik tok video fad so we can enjoy watching people attempt to do this…
7,2022-06-26 21:18:55+00:00,1541169159463006208,@McCainJack A sheared off chain link or two would be a great touch
8,2022-06-26 18:57:40+00:00,1541133611214114816,"@NSetnan There’s a lot of people who voted for these people because of a letter next to the name, now regretting that decision. That’s who it applies to."
9,2022-06-26 17:06:18+00:00,1541105586011402241,@McCainJack @cdrsalamander Let’s hope they have his discipline and training…
10,2022-06-26 00:28:51+00:00,1540854570158419969,👀👀👀👀👀 https://t.co/E0Vl6eZ5GA
11,2022-06-25 23:22:59+00:00,1540837991987306497,"“Let the states decide”… you know, like Arizona where the Governor and state legislature push through policies against the will and votes of the majority of Arizona voters regardless of political party… what’s the worst that can happen…"
12,2022-06-25 21:28:28+00:00,1540809171724996613,She’s 100% correct. Man up men https://t.co/s4yRAl7Q85
13,2022-06-25 20:50:38+00:00,1540799653976760321,@shelleyaw123 @WalshFreedom It’s also this yes
14,2022-06-25 19:48:27+00:00,1540784001886982145,"If you don’t vote the aholes into office, you don’t have to protest…"
