,Created at,User ID,Text
0,2022-06-24 14:50:45+00:00,1540346695409614849,My statement on today's egregious Supreme Court decision. #RoeVsWade #Dobbs #SupremeCourt https://t.co/CDkhnedTWw
1,2022-06-20 21:21:45+00:00,1538995544818843648,"The @njdepforestfire reports that the Wharton State Forest Fire is 50% contained. As the Forest Fire Service and our firefighters continue to fight this wildfire, please keep them in your prayers. If you must drive nearby do so carefully and look out for emergency vehicles."
2,2022-06-19 15:00:03+00:00,1538537100013801474,https://t.co/F91oS7rkmD
3,2022-06-19 14:00:00+00:00,1538521987336835073,https://t.co/LmqtOAXGe0
4,2022-06-14 16:45:13+00:00,1536751623363608576,https://t.co/Sq2NGQhM8u
5,2022-06-13 14:50:43+00:00,1536360421778767873,https://t.co/NQmFwuZlxM
6,2022-06-12 18:33:38+00:00,1536054135136608256,"The bipartisan agreement in the Senate is an important first step to addressing the gun crisis in our country. I applaud the Senators who are doing the right thing. However, this agreement does not go far enough. Keep the pressure on your lawmakers, don’t let them stop here. https://t.co/iC3rWZhbeS"
7,2022-06-08 17:02:51+00:00,1534581736323022849,Thank you for helping me win! https://t.co/9I28RPEdDW
8,2022-06-07 18:16:30+00:00,1534237881325260800,"There is still time to vote in the Primary! If you haven't cast your ballot yet, look up your polling location here:https://t.co/ygDX8Z4IQ2, and make a plan to stop in and make your voice heard before 8 pm!"
9,2022-06-05 15:17:28+00:00,1533468049092878337,@ggld This was not a staged photo. It was posted by someone on Facebook.
10,2022-06-05 14:26:25+00:00,1533455203676176385,"One of the Campaign's young supporters. Thank you, Sir! https://t.co/UlWI4YEkpc"
11,2022-06-02 01:36:35+00:00,1532174304309387265,"Another heartbreak, barely a week since Uvalde. This time in the city of Tulsa, where four people were murdered in a hospital. Hospitals are places for healing. Schools are places for learning. Neither should be places of terror. We must take action now."
12,2022-05-30 13:39:12+00:00,1531268996301037568,"From my family to yours, we wish you a safe and enjoyable Memorial Day. https://t.co/B7FoIrxBpL"
13,2022-05-25 01:18:55+00:00,1529270756030431232,"My heart breaks for these families, the Uvalde community, and our country. Another senseless shooting at another elementary school. We cannot continue to allow this to happen. Meaningful legislative action is needed now. Yes, we should all pray, then demand change."
14,2022-05-24 01:05:04+00:00,1528904882752741378,"As the next House Representative for NJ-02, my first bill in Congress will be to declare that it’s PORK ROLL!!! 
Who is this Taylor you misguided North Jerseyans speak of and why does he have ham?"
15,2022-05-23 22:30:00+00:00,1528865857715458049,"@jennifer_drain No worries, everything counts! Thank you so much for your support!"
16,2022-05-23 18:45:34+00:00,1528809378295562241,Consider donating if you want to see someone in office committed to change - https://t.co/tkYm5RKK6C https://t.co/NfvyMYoNNA
17,2022-05-23 18:25:48+00:00,1528804405599944704,Being told to “not politize an event” is Republican code for “we intend on doing nothing.” Democrats urging for gun control and mental health welfare isn't' “politizing” it’s doing our damn job. It’s time we work to put an end to mass shootings.
18,2022-05-20 15:57:01+00:00,1527679799623303168,"Now more than ever, during some of the most trying times of recent history, South Jersey needs a representative who will be loyal to the people and put their needs over a party or an ex-president. Let’s send Mr. Van Drew a clear and decisive message; you work for us; act like it! https://t.co/tsKd5dKjsu"
19,2022-05-19 20:21:05+00:00,1527383864095780864,"For me, it’s personal. I will always protect people with pre-existing conditions. We must expand healthcare and make it affordable for every American."
20,2022-05-17 18:07:56+00:00,1526625579327537154,"If we are going to make our world a safer place for our children, we have to make a serious commitment to ending Climate Change. This means investing in green technologies for the future."
21,2022-05-16 22:45:37+00:00,1526333072936996864,"Democrats - get your people registered. Our democracy is under attack like never before. Woman's rights, access to the polls, and being able to shop in your local grocery store without being shot because of the color of your skin. We must register and VOTE!https://t.co/XVf8zRgFr8"
22,2022-05-16 22:02:48+00:00,1526322297614831625,"The sad truth about gun violence is that it doesn’t discriminate. Whether it’s a Democratic area like Buffalo NY, or a Republican stronghold like Orange County, CA, we are not safe. Thoughts &amp; prayers don’t do enough. We need to update our gun laws NOW!"
23,2022-05-15 01:41:41+00:00,1525652606613393409,"The race-based hate some harbor for fellow Americans is tearing at the fabric of our country. Ten more lives were lost at the hands of evil yet we appear helpless to address this violence. Enough.
https://t.co/z4tgEqIkXr"
24,2022-05-14 19:07:43+00:00,1525553460648808448,It’s time we take back our seat - please donate to help make this happen - https://t.co/tkYm5RKK6C https://t.co/TLyApLHpce
25,2022-05-14 19:06:58+00:00,1525553271749939202,"Jeff Van Drew consistently votes against Democracy. Whether it’s affirming our support for NATO or simply certifying the results of a free &amp; fair election, Van Drew fails to protect Democracy &amp; America. We must not protect him."
